,0
0,BRIP1
1,ASF1B
2,CASC5
3,TIMELESS
4,ERCC6L
5,HELLS
6,PIF1
7,GINS2
8,CDC25A
9,MCM7
10,TPX2
11,ORC1
12,NCAPH
13,MCM8
14,CDKN3
15,ESPL1
16,MCM6
17,BUB1
18,KPNA2
19,MCM2
20,NDC80
21,E2F1
22,POLE
23,CEP55
24,RRM2
25,SLC29A1
26,TOP2A
27,CDCA3
28,FAM72A
29,WDR62
30,RNASEH2A
31,CENPN
32,LBR
33,POLE2
34,KIF2C
35,CENPJ
36,CCNB2
37,CCNA2
38,KIAA1524
39,NCAPG
40,RFC4
41,DHFR
42,NCAPD2
43,CENPO
44,MCM4
45,MCM10
46,SPAG5
47,ANLN
48,MCM3
49,MYBL2
50,CDCA5
51,LONP1
52,PLK4
53,BIRC5
54,CCNF
55,CDT1
56,KIF11
57,CDCA8
58,EXO1
59,SHCBP1
60,BRI3BP
61,GTSE1
62,LMNB1
63,INCENP
64,KIF15
65,GSG2
66,CDK1
67,GINS1
68,PBK
69,TUBB
70,PCNA
71,KIF23
72,CENPI
73,TONSL
74,NUSAP1
75,BUB1B
76,TMEM97
77,TCF19
78,FEN1
79,FBXO5
80,RP11-673C5.1
81,IQGAP3
82,CHAF1A
83,CCNB1
84,CDC20
85,ARHGAP11A
86,CDCA2
87,KIF20B
88,UBE2T
89,DNAJC9
90,PTTG1
91,FAM83D
92,CENPE
93,FANCI
94,DLGAP5
95,CENPF
96,TACC3
97,DEPDC1
98,HJURP
99,CENPU
100,POLQ
101,KIF14
102,DDIAS
103,PSRC1
104,MTHFD1
105,LIG1
106,SPDL1
107,RECQL4
108,PRR11
109,FOXM1
110,TROAP
111,KIAA0101
112,TK1
113,STIL
114,SKA1
115,CENPA
116,MCM5
117,MKI67
118,PHF19
119,RACGAP1
120,PKMYT1
121,EZH2
122,CENPH
123,KIF18B
124,BRCA1
125,GAS2L3
126,UBE2C
127,AURKA
128,NCAPG2
129,WDHD1
130,DUT
131,KIFC1
132,TCOF1
133,FAM64A
134,XRCC2
135,ZNF367
136,MELK
137,ZWINT
138,DSCC1
139,SPC25
140,DBF4
141,WDR76
142,TMPO
143,FAM111B
144,B4GALNT1
145,FANCD2
146,DBF4B
147,KIF4A
148,SMC4
149,KIF20A
150,FANCA
151,PRC1
152,ZWILCH
153,WHSC1
154,BLM
155,TTK
156,BRCA2
157,KIF22
158,EXOSC8
159,CDC6
160,CHTF18
161,RFC5
162,SKA3
163,UHRF1
164,HMGB2
165,DEK
166,FAM72B
167,DEPDC1B
168,GEN1
169,PLK1
170,TICRR
171,SGO1
172,GMNN
173,PHGDH
174,MAD2L1
175,AURKB
176,TRIP13
177,KNSTRN
178,CDC45
179,RFC2
180,HMGB1
