,0
0,ASB12
1,CXCL12
2,PIK3R3
3,FABP5
4,FFAR2
5,RBM24
6,LONRF2
7,OR1A1
8,RAPGEFL1
9,TXNDC16
10,MREG
11,NOP56
12,SH2B2
13,S1PR3
14,FAM110C
15,NRIP1
16,EGR3
17,TMEM135
18,MKNK1-AS1
19,CYP1A1
20,AREG
21,SIAH2
22,KITLG
23,CEBPB
24,SNORA71B
25,RARA
26,SGK1
27,TDRG1
28,PRR5
29,GARS
30,MYC
31,DOK7
32,LINC00520
33,ARHGAP12
34,HEY2
35,FAM83B
36,CCND1
37,VMP1
38,TIPARP
39,GRHL3
40,ND6
41,IGFBP4
42,TSKU
43,SLC26A2
44,IRF2BPL
45,SLC22A5
46,ANKRD50
47,TFAP2C
48,CHST15
49,LOC100505478
50,RBBP8
51,PDZK1
52,C10ORF25
53,SPHKAP
54,RND3
55,LINC00869
56,LOC100130264
57,EFNA1
58,MEIS2
59,FHL2
60,WDR43
61,CCNG2
62,PIK3R1
63,SH2D2A
64,HSPB8
65,HSPB6
