,0
0,MB
1,SNHG1
2,NME1
3,FRAT2
4,NPM1
5,PNRC1
6,SERINC5
7,EGR3
8,AREG
9,TCEAL1
10,SRM
11,SH3BGRL
12,TOP2B
13,CLU
14,IER3
15,BTG1
16,SGCG
17,TMEM106C
18,IARS
19,GTF2IP1
20,VMP1
21,IER5
22,SAT1
23,TFAP2C
24,FAM84B
25,BCAS3
26,HIST2H2AA4
27,CCDC53
28,ASAH1
29,KRT18
30,RNF11
31,HEBP1
32,EFNA1
33,VAMP8
34,SDCBP
35,SELENBP1
36,CCNG2
37,SIAH2
38,FKBP4
39,PIK3R3
40,C1QBP
41,C17ORF58
42,NPNT
43,MANSC1
44,YPEL5
45,ABCE1
46,WSB2
47,MRPS23
48,RAB11A
49,GARS
50,TXNIP
51,HILPDA
52,GREB1
53,IFI6
54,MLPH
55,SYTL2
56,IMP4
57,GPR160
58,PPIF
59,AHSA1
60,PA2G4
61,GATA3
62,PLEKHF2
63,BAMBI
64,FHL1
65,FOXA1
66,LXN
67,GRB14
68,TFF1
69,PLK2
70,HSP90AB1
71,SLC7A5
72,HSPA8
73,TSTD1
74,EFR3A
75,PNP
76,SCP2
77,PKIB
78,TMBIM4
79,ATP9A
80,SETP4
81,PPM1K
82,CRELD2
83,CEBPB
84,MRFAP1L1
85,CTSD
86,ASS1
87,TMEM150C
88,FBP1
89,SLC6A14
90,ATF4
91,RBL2
92,EPS8
93,ANXA9
94,SLC35A1
95,ADM
96,SLC26A2
97,HIST1H2AC
98,DDX21
99,CA12
100,RPL22L1
101,ZFP36L2
102,ATP1B1
103,KLHDC2
104,SLC9A3R1
105,SERINC1
106,TMEM14A
107,HSPB8
108,TUFT1
109,HOXC6
110,CELSR2
111,KYNU
112,FAM174A
113,SUMF1
114,DTX3L
115,AGR2
116,PRSS23
117,HSPH1
118,RUVBL1
119,CDKN1B
120,MYO6
121,ZG16B
122,TSKU
123,GNS
124,IRF2BPL
125,SMIM14
126,EMG1
127,PTP4A1
128,MRPS17
129,ACSL3
130,ITGAV
131,HIST1H1C
132,SLC12A2
133,CSTA
134,TPD52L1
135,TMEM30A
136,SLC3A2
137,PNPT1
138,TUBB6
