,0
0,BRINP2
1,TRIM55
2,RP11-564A8.4
3,BCL2L11
4,IL20
5,NEIL2
6,GEMIN5
7,ACOX2
8,CCND1
9,FCMR
10,ZPR1
11,RPS6KA3
12,SLC16A1
13,TET2
14,E2F6
15,TPD52L1
16,SLC6A8
17,KCNQ5
18,IGF1R
19,IGFBP4
20,MRPL3
21,CLMP
22,SUSD3
23,INPP4B
24,TMA16
25,SLC29A1
26,PTP4A1
27,PPM1K
28,TSKU
29,TMPRSS3
30,ABCE1
31,IL24
32,HSPA8
33,GPC6
34,ZNF703
35,PDSS1
36,DDX21
37,CAD
38,NRIP1
39,MAT1A
40,MARS
41,BLK
42,FGG
43,DOK7
44,ENDOD1
45,HSPB8
46,GPR68
47,"LARGE2
"
48,FKBP4
49,NAB2
50,C15ORF59
51,MREG
52,SLC19A2
53,TUBB6
54,SPATS2L
55,EGR3
56,SIAH2
57,MAPKAPK3
58,CXCL12
59,HSP90AB1
60,FDFT1
61,ARHGDIG
62,HERC6
63,NPY1R
64,GFRA2
65,PADI3
66,TIPARP
67,FABP5
68,ITGA2
69,TENM4
70,HSPH1
71,CA12
72,GREB1
73,MPPED2
74,SLC26A2
75,NPM1
76,PLD6
77,ADCY9
78,RAPGEFL1
79,TFF1
80,ZNF488
81,ADORA1
82,GATA4
83,PRSS23
84,PKIB
85,GRPR
86,AREG
87,THBS1
88,IL27RA
89,UTP20
90,PDLIM3
91,TEX14
92,STARD13
93,RPUSD1
94,PUS7
95,COPS9
96,KCNK6
97,NECAB1
98,HPGD
99,CTSD
100,HSP90AA1
101,MYBL1
102,SGK223
103,OLFM1
104,IGSF1
105,SGK3
106,SSR3
107,WDFY4
108,MAK16
109,PPM1E
110,PMAIP1
111,TPBG
112,LONRF2
113,BAG2
114,NOP56
115,APOA1
116,AP1S2
117,NOP2
118,NOC3L
119,MYEOV
120,AMER1
121,CAP2
122,SMOX
123,RERG
124,ETS2
125,BCL2
126,SLC2A14
127,RBBP8
128,PGR
129,THSD4
130,POLR3G
131,CCNA1
132,GRIK3
133,LYAR
134,TCN1
135,C1ORF226
136,A4GALT
137,ASCL1
138,DNAJA1
139,C5AR2
140,PDZK1
141,NR2E3
142,ELOVL5
143,HSPD1
144,WDR43
145,ABAT
146,RCL1
147,RBM24
148,NLN
149,RAI14
150,RARA
151,PRMT3
152,SYTL4
153,DLC1
154,ADGRA3
155,NR5A2
156,LDLRAD3
157,WDR3
158,AMFR
