,0
0,MB
1,NPM1
2,PFDN2
3,EGR3
4,TUBB3
5,TMEM64
6,SAT1
7,BCAS3
8,HSP90AA1
9,SELENBP1
10,SIAH2
11,FKBP4
12,PIK3R3
13,RBM24
14,ABCE1
15,MREG
16,NRIP1
17,FDFT1
18,TXNIP
19,GREB1
20,GPRC5A
21,SYTL2
22,HSPE1
23,IGFBP4
24,DNAJA1
25,GPR160
26,RRS1
27,PLEKHF2
28,GEMIN5
29,BAMBI
30,LXN
31,TFF1
32,HSP90AB1
33,SLC7A5
34,HSPA8
35,PKIB
36,FABP5
37,ATP9A
38,DNAJC1
39,PPM1K
40,CTSD
41,TMEM150C
42,FBP1
43,RBL2
44,SOCS2
45,SLC26A2
46,DDX21
47,TCN1
48,CA12
49,ID2
50,HSPB8
51,SUSD3
52,RET
53,LITAF
54,MAPK6
55,NPY1R
56,CELSR2
57,KYNU
58,DTX3L
59,DHCR7
60,NCOA3
61,PRSS23
62,HSPH1
63,PGR
64,TPBG
65,ZG16B
66,TSKU
67,IRF2BPL
68,PTP4A1
69,SYTL5
70,ACSL3
71,CSTA
72,MRPL3
73,TPD52L1
74,SLC3A2
75,ABAT
76,BASP1
77,S100A7
78,TUBB6
