,0
0,RRM2
1,HMMR
2,CXCL12
3,TOP2A
4,UBE2T
5,CEP55
6,PRIMA1
7,KIF4A
8,GINS1
9,ELOVL7
10,CDKN3
11,RAD51AP1
12,LMNB1
13,CDK1
14,NCAPG
15,TPX2
16,DEPDC1
17,MYBL2
18,NDC80
19,TACC3
20,CCNB1
21,NEK2
22,DLGAP5
23,CDCA3
24,UBE2C
25,FAM72D
26,KIF2C
27,CENPF
28,KIF20A
29,PTTG1
30,CCND1
31,CENPA
32,KIF11
33,FAM83D
34,RACGAP1
35,ZWINT
36,KPNA2
37,KIAA0101
38,CKS2
39,TRIP13
40,ASF1B
41,CDCA5
42,NUF2
43,CCNE2
44,TTK
45,FOXM1
46,CCNA2
47,PDLIM3
48,KIF15
49,NUSAP1
50,HJURP
51,UBE2S
52,UHRF1
53,PBK
54,PDZK1
55,ASPM
56,ZNF367
57,BUB1B
58,CENPE
59,HMGB3
60,KIF14
61,CDC20
62,FANCI
63,MKI67
64,BLM
65,JAG2
66,FAM64A
67,GAS2L3
68,MAD2L1
69,AURKA
70,ANLN
71,EZH2
72,MELK
73,S100A7
74,PRC1
