,0
0,ATF3
1,PELI2
2,RELN
3,PDZK1IP1
4,EHF
5,VIPR1
6,GRAMD3
7,OGN
8,ART3
9,OLFML3
10,ENPP2
11,TM4SF18
12,INHBA
13,NR3C2
14,ADAMTS1
15,INHBB
16,CLU
17,ARHGAP19
18,ALDH1A2
19,SAA2
20,CNN1
21,KCNMB1
22,PPAPDC1A
23,TMTC1
24,MYLK
25,SAMD5
26,TAGLN
27,CES1
28,ZNF204P
29,SLPI
30,PDK4
31,SQLE
32,SOCS2
33,PDGFRL
34,CXCL10
35,PLAT
36,ANKRD30A
37,TCN1
38,NDNF
39,LAMP3
40,VLDLR
41,PDZK1
42,TIMP4
43,SYT1
44,FHL1
45,GHR
46,HSD17B2
47,MMP13
48,FAM189A2
49,EGR1
50,CYP2J2
51,C3
52,SDPR
53,PON3
54,FGF1
55,TNFSF4
56,FOS
