,0
0,DDIT4
1,ZSWIM6
2,CXXC5
3,FAM189A2
4,SALL4
5,ID1
6,PGBD5
7,SLX4IP
8,NXNL2
9,SGK223
10,DOK7
11,FOXN1
12,CA2
13,REL
14,ARMCX3
15,NRIP1
16,FOXC1
17,ARL4A
18,SUV39H2
19,SNAPC1
20,RCL1
21,SGK1
22,ARMCX6
23,LINC00341
24,MYC
25,RUNDC3B
26,USP31
27,KIT
28,IGFBP4
29,UBE2T
30,SLC25A36
31,MYB
32,GALNT4
33,TGIF2
34,C14ORF182
35,SOCS2
36,HHEX
37,ELF1
38,RAPGEFL1
39,EGR3
40,PREX1
41,S1PR3
42,KCTD6
43,AREG
44,ULK1
45,GEM
46,RASD1
47,TPBG
48,RFPL1S
49,KLF4
50,LONRF2
51,DRD1
52,BTG2
53,SNHG5
54,SLITRK4
55,SMTNL2
56,TSPYL5
57,ZNF703
58,ARHGEF26
59,GATSL3
60,FZD7
61,PTGES
62,HEY2
63,MREG
64,IL24
65,CHSY1
66,IGHE
67,FOS
68,SIAH2
69,DLG5
70,MBOAT1
71,CEBPB
72,C1QTNF6
73,CCND1
74,FAM60A
75,JAK2
76,FFAR2
77,DDHD1
78,TST
79,CDKN2B
80,FRK
81,FHL2
82,N4BP3
83,PGR
84,SLK
85,RAB11FIP1
86,FAM107B
87,EFNA1
88,SMOX
89,FNIP2
90,CXCL12
91,PKDCC
92,EGR1
93,HAUS1
94,TIFA
95,C1ORF226
96,RNF43
97,NCEH1
98,LOC100506870
99,CAV1
100,GRHL2
101,DUSP6
102,TIPARP
103,MXD1
104,SLC22A5
105,GRHL3
106,RND3
107,PGLYRP2
108,MSMB
109,RARA
110,SLC10A3
111,HSPB8
112,SLITRK6
113,KCNK6
114,RASGRP1
115,HS3ST3A1
116,IL6ST
117,LOC100506966
118,ST8SIA4
119,TRIB2
120,SNX24
121,ASB13
122,CTR9
123,SCNN1B
124,RFPL3S
125,CYP1A1
126,RBM24
127,ABHD2
128,ARHGAP36
129,LRIG1
130,LOC100505731
131,ZNF750
132,KITLG
133,TMED8
134,VAMP2
135,GAB2
136,RAB31
137,THOC5
138,PIGA
139,NMRK1
140,ARF6
141,RBBP8
142,LOC100510224
143,FAM83B
144,PCDH8
145,LOC100505497
146,C6ORF132
147,C8ORF46
148,PARD6B
149,IL20
150,ONECUT2
151,LOC93622
152,EGLN3
153,TNFRSF11B
154,TMA16
155,SYBU
156,PDZK1
157,KIF21A
158,RHOBTB1
159,SLC26A2
160,TNFSF10
161,BLNK
162,PMAIP1
163,FAM63A
164,LOC400768
165,RHOU
166,DIRAS2
