,0
0,GPR128
1,FCGBP
2,ZNF236
3,ZSWIM6
4,ERP27
5,KMT2E-AS1
6,FAM189A2
7,NSAP11
8,CCDC88C
9,BCAR3
10,FOXN1
11,C19ORF84
12,SLC36A4
13,NRIP1
14,ARL4A
15,ARID5A
16,BIRC3
17,RCL1
18,ZNF785
19,SGK1
20,ARMCX6
21,MIR30C2
22,TMEM135
23,NPFFR1
24,KBTBD6
25,LOC550113
26,LOC340178
27,LINC01002
28,ELF1
29,KCTD6
30,AREG
31,ULK1
32,POLR1C
33,TSACC
34,FAM110C
35,VEGFC
36,HOXB4
37,NANOG
38,GPR1
39,BTG2
40,LCE1E
41,C5ORF30
42,SMTNL2
43,HOTTIP
44,LOC100508226
45,LOC338963
46,LOC100506713
47,TSPYL5
48,LOC157860
49,SIGLEC15
50,PIP5K1A
51,C1ORF105
52,ANKRD31
53,FBXW10
54,IGHG1
55,LOC100506348
56,BMX
57,OPTC
58,FZD7
59,PTGES
60,BTNL8
61,RAB37
62,LGALS2
63,IGHE
64,TKTL1
65,EIF5B
66,SP4
67,DKK1
68,PCDHGA11
69,C1QTNF6
70,FAM60A
71,KAT6B
72,LOC100506728
73,AKAP1
74,GMNC
75,CD1A
76,FHL2
77,FLJ38668
78,LOC100509639
79,DIO3
80,SLAMF6
81,FAM124B
82,EFNA1
83,CXCL12
84,C20ORF203
85,PIK3IP1-AS1
86,GSG1L
87,NR3C1
88,RPS11
89,FOXF1
90,LINC00520
91,GRHL2
92,C10ORF2
93,SH3PXD2A-AS1
94,TIPARP
95,LTB4R2
96,PCDHA10
97,SLC22A5
98,MKNK1-AS1
99,LOC100507009
100,MEP1B
101,KDELC2
102,RASGRP1
103,RIPK3
104,SNX24
105,GRAMD3
106,KIF28P
107,NEURL1B
108,LINC00597
109,RBM24
110,ARHGAP12
111,LRIG1
112,SMIM1
113,INAFM2
114,MYL12B
115,GAB2
116,LINGO1
117,GRID1-AS1
118,OTC
119,PIGA
120,PTENP1
121,RBBP8
122,LOC100510224
123,VASN
124,SLCO1C1
125,IK
126,FAM83B
