UNGP2
GJD4
TAS1R2
SLC18A3
SCN10A
POU4F3
OPN4
ANKRD34CAS1
TMBIM7P
HCRTR1
TGM6
PTH
FAM163A
TLX1NB
SOX14
GPR6
RXFP3
OR2S2
GALR1
GPR45
PDYN
CRYGB
TRPM2
GUCY2D
FSHR
PROP1
HELT
GRIK1
OPRD1
GHSR
VSX1
PHOX2B
GSX2
PTGDR
PRLHR
RGSL1
ADAM18
GPR149
TCP10
GUCY2F
GPX5
SLC6A3
TACR3
TAAR5
GNRHR
PKDREJ
GIF
ALLC
SYT10
GUCY2EP
TMC2
OR6A2
HMX3
FERD3L
VAX1
RESP18
FOXE3
ADCYAP1
SLC32A1
GSX1
RXFP2
FIGLA
TAAR9
ZP2
TRPA1
SKOR1
SPATA19
SRD5A2
GABRQ
TAAR1
PIWIL1
PPP3R2
GLRA1
SLC1A6
PROKR2
GPR83
ODF4
GPR148
GLP2R
SRMP1
GPR61
SCN11A
SMIM23
GPR142
SCGB1D4
SPERT
HMX2
HSD3BP1
PRSS38
H1FOO
SLC5A7
VSX2
HOXD12
GALP
SYNDIG1L
GCM2
GJA8
PHOX2A
GNAT3
TRIM50
GLRA4
SPACA5
CPXCR1
CPLX4
GPR101
VWC2L
TTLL2
RAD21L1
FSHB
OPN5
RSPO4
OPRK1
SLC22A2
GPR26
POU3F4
GRK1
SLC6A7
SCN5A
RORBAS1
HRH3
TH
NWD2
TMEM155
PRSS43
TMEM211
T
SPATA32
GALNT8
A3GALT2
GHRHR
ALKAL1
OR1E1
ADCY10
AANAT
PTPN5
SV2C
GRP
PTH2R
SLC35F4
GABRR1
IGFL4
SPACA1
TRIM49
FGF16
TFDP3
GALR2
ANKRD34C
TAS2R8
OR9A2
OR4E2
CRYGA
SPEM1
NXPH2
FEV
SHH
SKOR2
GHRH
AGTR2
GTF2A1L
SLC13A5
SCTR
RPE65
SOX30
SSTR4
SLC5A5
TEX101
TKTL2
SLC12A1
TRHR
GABRA6
CRH
ANGPT4
RAG2
GRIN2D
OR2H2
SLC4A9
HMGB4
STRA8
WNT3A
PRDM13
TDRD5
RTL4
GUCY1B2
FAM205C
PPDPFL
GRIN2C
TTTY5
RIT2
SMIM2
FOXI2
SYT6
GABRA2
NXF2
ALK
VWA2
TAS2R38
TMEM202
GPR50
PIRT
TAS2R1
