,0
0,KRT17
1,PROM1
2,FCGBP
3,ZBTB16
4,ID4
5,ANXA3
6,ALOX15B
7,CALML3
8,PHYHD1
9,BMPR1B
10,FAM189A2
11,TAC1
12,ADAMDEC1
13,ZNF662
14,SCUBE2
15,CRIM1
16,KCTD14
17,SERHL
18,NLRP2
19,WIF1
20,NRN1
21,PROL1
22,TIMP4
23,NTN4
24,CXCL14
25,HBB
26,SLC27A6
27,CX3CL1
28,OXTR
29,ANXA8
30,EGFLAM
31,CITED1
32,TMEM98
33,CRACR2B
34,XDH
35,ZNF385B
36,HPGD
37,TCN1
38,MIA
39,SERPINB5
40,SYNM
41,S100P
42,SCGB2A1
43,RARRES1
44,PEG3
45,MUC15
46,KRT6B
47,NPY5R
48,FMO1
49,AKR1C3
50,CHPT1
51,CXCL10
52,OLFM4
53,HOXA9
54,STC2
55,KRT23
56,PDZK1
57,EDN3
58,DIRAS3
59,RAB26
60,TSPAN6
61,PRAME
62,ZNF204P
63,MMP10
64,MATN2
65,RNF128
66,GABRP
67,VTCN1
68,NTF4
69,CYP26A1
