,0
0,TBC1D9
1,SLC39A6
2,SCGB1D2
3,AZGP1
4,PIP
5,NTRK2
6,SCGB2A2
7,CLEC3B
8,INHBB
9,MYH11
10,CAMK2N1
11,ACTA2
12,PTN
13,EGR1
14,CIRBP
15,CSRP1
16,FABP4
17,CCL14
18,EVL
19,KRT14
20,MATN2
21,STC2
22,COL4A5
23,OXTR
24,AGR2
25,EFHD1
26,FOXA1
27,AMIGO2
28,MLPH
29,ADIRF
30,CITED1
31,FTO
32,HBB
33,TAGLN
34,CPB1
35,KIAA1324
36,XIST
37,CFD
38,SCUBE2
39,PDZK1
40,KRT18
41,ALCAM
42,WIF1
43,CNN1
44,IGFBP4
45,KRT5
46,APOD
47,HBA1
48,IGFBP2
49,VAV3
50,GRP
51,IRX5
52,PDLIM1
53,CBX7
54,NPY1R
55,DNAJC12
56,CDH1
57,LAMB3
58,CA12
59,DHCR24
60,GATA3
61,PROL1
62,MUC1
63,C4A
64,LTF
65,SAA2
66,LAMB2
67,GSTM3
68,RNASE4
69,PLAT
