,0
0,H1F0
1,DDR1
2,S100P
3,NPM1
4,PSMB5
5,SEC16A
6,HSPA5
7,RPS16
8,BTG1
9,IER3
10,GTF2IP1
11,ADIRF
12,DYNLL1
13,PPA1
14,HSP90AA1
15,RPLP0
16,KRT18
17,EFNA1
18,SDCBP
19,RPL23A
20,CYCS
21,CCNG2
22,KRT19
23,RPSA
24,REEP5
25,EIF3D
26,EEF1A1
27,VDAC2
28,HSPD1
29,TMA7
30,B2M
31,RPS4X
32,RPS3A
33,RPS26
34,TUBB
35,TXNIP
36,LAP3
37,ATP5E
38,MLPH
39,IGFBP4
40,RAN
41,HSPA1A
42,NFKBIA
43,RPLP0P6
44,GATA3
45,RPS2
46,SET
47,FOXA1
48,S100A10
49,PPIA
50,CD24
51,TOB1
52,HSP90AB1
53,FAU
54,HSPA8
55,TMSB10
56,RPS18
57,RPL8
58,TACSTD2
59,RPL36AL
60,RPL30
61,TUBA1C
62,CEBPB
63,SLC25A5
64,CAPNS1
65,RPS29
66,EIF3E
67,HMGN2
68,LGALS1
69,MARCKSL1
70,DBI
71,PSME1
72,ATP1B3
73,HIST1H2AC
74,CA12
75,NCL
76,TMSB4X
77,KLHDC2
78,CDH3
79,RPS17
80,SERPINA3
81,XBP1
82,EEF1B2
83,HIF1A
84,UBC
85,UBA1
86,DSP
87,TUBB4B
88,DSTN
89,CD81
90,NPY1R
91,TMEM59
92,RPL36A
93,MYL12B
94,TPT1
95,TFRC
96,GAPDH
97,PPIB
98,PPP1R3C
99,RPS19
100,ARF6
101,DDX5
102,PCBP1
103,PPT1
104,TPBG
105,GSTM3
106,MYL6
107,TMBIM6
108,EEF2
109,NSA2
110,RPL13A
111,RPL5
112,RPL12
113,CD63
114,UBA52
115,PABPC3
116,RPS6
117,MRPL3
118,STUB1
119,TPD52L1
120,H3F3AP4
121,GGCT
122,GNAS
123,DHCR24
124,BASP1
125,CCT5
126,YBX1
127,EIF3G
