,0
0,GEM
1,HIF1A
2,KCNN4
3,NPY1R
4,CEBPB
5,SOX9
6,GJA1
7,MXI1
8,LRIG1
9,SCUBE2
10,ELF5
11,MYC
12,FLNB
13,MGP
14,SRSF5
15,ARF6
16,MLPH
17,DDX5
18,TPBG
19,KRT15
20,PLAT
21,IGFBP4
22,PODXL
23,GLUL
24,CA12
25,MYB
26,PDZK1
27,SLC35E2B
28,DNAJC12
29,IGFBP3
30,JAG2
31,EFNA1
32,KIT
33,EGR1
34,CAMK2N1
35,PELI1
36,AIM1
