,0
397,RAP1B
398,AMPH
399,SNORD4B
400,KLHDC1
401,CCRN4L
402,IMPACT
403,SSX6
404,OGN
405,OVOS2
406,ST3GAL6
407,PNPLA4
408,C10ORF91
409,BNIP1
410,VNN1
411,EHMT2
412,SIRPG
413,HTRA1
414,DMBT1
415,LGALS9C
416,RPL23P8
417,FUT9
418,RNF152
419,MRPL1
420,SOCS2
421,SLC2A1
422,SKP2
423,RFPL4A
424,OR6B2
425,KLRC3
426,ZFP36L2
427,ZNF804A
428,MMP13
429,C9ORF64
430,NTF3
431,ERO1LB
432,C3
433,EMB
434,NAV3
435,FGF1
436,SIMC1
437,ZNF667-AS1
438,NEIL1
439,ITGA2
440,POGLUT1
441,MMP8
442,SERPINE1
443,UIMC1
444,FNTA
445,ALDH1A2
446,CNN1
447,RASSF4
448,TBC1D8B
449,RPSAP52
450,PPP1R3C
451,MYLK
452,TNIP1
453,ERMP1
454,POU2F2
455,CXCL10
456,SAMD12
457,TPTE2P6
458,CPM
459,PARP9
460,ZDHHC12
461,MAPT
462,LAMA5
463,PON3
464,PTPRR
465,APBB1
466,UBTD2
467,NQO1
468,GADD45A
469,ZNF737
470,VIPR1
471,CYP51A1
472,CLK4
473,S100A4
474,C14ORF37
475,DDIT3
476,SETMAR
477,PPP2R1B
478,PHAX
479,SEL1L3
480,OR51B2
481,GJA5
482,CYP1B1
483,C10ORF90
484,MARCH3
485,MPP4
486,IFT20
487,PDK4
488,APOBEC3G
489,STYK1
490,ACTBL2
491,SEC22A
492,LOC441956
493,GPC4
494,SNORA23
495,RYR2
496,LAMP3
497,SNORD14E
498,PAX9
499,BLID
500,SRFBP1
501,KDELC2
502,SAR1B
503,CDS1
504,RTN1
505,SAA1
506,PTPLB
507,ID1
508,CDH5
509,CNNM1
510,CAMK2D
511,PGM5
512,EHF
513,SLC19A3
514,REEP2
515,FDFT1
516,ARHGAP10
517,INHBA
518,USP18
519,NSUN4
520,CD38
521,KDR
522,SLCO2A1
523,GYPC
524,PCDHB15
525,CDKL3
526,RIPK4
527,SLPI
528,METTL7A
529,CCDC14
530,C1ORF110
531,MGAM
532,SPP1
533,LARS
534,HES7
535,PECAM1
536,NCF2
537,VAV1
538,FMO3
539,PHACTR1
540,SSX1
541,KLRC4-KLRK1
542,PELI2
543,SNX24
544,RNU5A-1
545,CXCL16
546,FAM134B
547,ITGB3
548,ATP6V0A1
549,SPATA6
550,CFB
551,GJA1
552,STEAP1B
553,MMP3
554,CLIC2
555,FBP1
556,ZC4H2
557,NOP16
558,ANKRD30B
559,INSIG1
560,PLAT
561,FAM175A
562,RGCC
563,PRICKLE1
564,LDB2
565,ANKRD30A
566,LUM
567,TMX4
568,VLDLR
569,PDLIM5
570,CDR1
571,DNAJC18
572,RASGRP3
573,TMEM41B
574,COL6A1
575,IL1A
576,KIF16B
577,CRISPLD2
578,AQP3
579,LARP4
580,ENPP2
581,NRK
582,ARL9
583,KDM7A
584,ITIH4
585,RIMS1
586,KIF3A
587,KRT34
588,DHCR7
589,EDN1
590,SAMD5
591,PDGFRL
592,SCG5
593,SLCO1B7
594,HHIP
595,ASNS
596,EPB41L3
597,EGR1
598,PARP8
599,UFSP2
