,0
0,RRM2
1,H1F0
2,DDR1
3,CXCL12
4,PIK3R3
5,CKS1B
6,XBP1
7,UBE2T
8,YPEL5
9,FEN1
10,PNRC1
11,GINS1
12,SLC7A2
13,TUBB4B
14,PTMA
15,NRIP1
16,CDK1
17,CELSR2
18,PCNA
19,TUBA1C
20,TUBA1A
21,UBE2C
22,HMGN2
23,TP53INP1
24,TUBB
25,TXNIP
26,GREB1
27,RANBP1
28,PRSS23
29,MTHFD1
30,CTSD
31,MCM2
32,CCND1
33,RNASEH2A
34,HIST1H2BD
35,MLPH
36,KPNA2
37,MCM7
38,SYTL2
39,CKS2
40,HIST1H2AC
41,FAM214A
42,CCT5
43,HIST2H2AA4
44,RFX5
45,UBE2S
46,UHRF1
47,MCM6
48,PBK
49,GMNN
50,HSP90AA1
51,B4GALT1
52,FOXA1
53,SRSF1
54,LXN
55,PSMC3
56,DUT
57,SERPINA3
58,ARL6IP1
59,MAD2L1
60,ABAT
61,CACYBP
62,MELK
63,S100A7
64,HSPB8
65,PRC1
66,RET
