,0
0,ASF1B
1,CASC5
2,SLBP
3,ERCC6L
4,TIMELESS
5,HELLS
6,PIF1
7,GINS2
8,RRM1
9,CDC25A
10,MCM7
11,"SGO2
"
12,TPX2
13,ORC1
14,NCAPH
15,CDKN3
16,ESPL1
17,MCM6
18,BUB1
19,KPNA2
20,RAD51
21,MCM2
22,RAD54L
23,NDC80
24,E2F1
25,POLE
26,CEP55
27,H1FX
28,RRM2
29,SLC29A1
30,TOP2A
31,CDCA3
32,ANP32E
33,WDR62
34,RNASEH2A
35,CENPN
36,LBR
37,POLE2
38,KIF2C
39,CCNB2
40,CCNA2
41,KIAA1524
42,NCAPG
43,RFC4
44,DHFR
45,NCAPD2
46,CENPO
47,MCM4
48,MCM10
49,SPAG5
50,ANLN
51,MYBL2
52,MCM3
53,CDCA5
54,BIRC5
55,ESCO2
56,CHAF1B
57,HMMR
58,E2F8
59,CCNF
60,CDT1
61,KIF11
62,CDCA8
63,EXO1
64,SHCBP1
65,GTSE1
66,LMNB1
67,INCENP
68,KIF15
69,CDK1
70,GINS1
71,CENPM
72,PBK
73,POLA2
74,TUBB
75,PCNA
76,KIF23
77,CENPI
78,NUSAP1
79,BUB1B
80,RAD51AP1
81,TMEM97
82,TCF19
83,FEN1
84,FBXO5
85,RP11-673C5.1
86,IQGAP3
87,CHAF1A
88,CCNB1
89,CDC20
90,CDKN2C
91,ARHGAP11A
92,CDCA2
93,E2F2
94,UBE2T
95,CHEK1
96,DNAJC9
97,DIAPH3
98,PTTG1
99,FAM83D
100,CENPE
101,FANCI
102,USP1
103,DHTKD1
104,DLGAP5
105,CENPF
106,NCAPH2
107,TACC3
108,DEPDC1
109,HJURP
110,CENPU
111,KIF14
112,PSRC1
113,MTHFD1
114,LIG1
115,SPDL1
116,RECQL4
117,PRR11
118,NEK2
119,FOXM1
120,MND1
121,TROAP
122,KIAA0101
123,TK1
124,SKA1
125,CENPA
126,MCM5
127,MKI67
128,PHF19
129,RACGAP1
130,CDCA7
131,PKMYT1
132,EZH2
133,CENPH
134,KIF18B
135,BRCA1
136,GAS2L3
137,UBE2C
138,AURKA
139,STMN1
140,NCAPG2
141,WDHD1
142,GPSM2
143,DUT
144,KIFC1
145,TCOF1
146,FAM64A
147,ZNF367
148,BARD1
149,MELK
150,ZWINT
151,SPC25
152,DBF4
153,WDR76
154,TMPO
155,FAM111B
156,FAM72D
157,FANCD2
158,KIF4A
159,PSMC3IP
160,SMC4
161,KIF20A
162,FANCA
163,PRC1
164,WHSC1
165,BLM
166,TTK
167,KIF22
168,KNTC1
169,RFC5
170,SKA3
171,UHRF1
172,ASPM
173,HMGB2
174,DEK
175,FAM72B
176,DEPDC1B
177,NUF2
178,NEURL1B
179,PLK1
180,TICRR
181,CCNE2
182,SGO1
183,CKAP2L
184,GMNN
185,PHGDH
186,MAD2L1
187,AURKB
188,PRIM1
189,TRIP13
190,KNSTRN
191,CDC45
192,RFC2
193,HMGB1
