,0
0,SPC25
1,ZNF367
2,NEK2
3,TTK
4,LMNB1
5,FAM64A
6,ZWINT
7,KIF2C
8,CENPE
9,KPNA2
10,EFEMP1
11,CRACR2B
12,EZH2
13,FAM214A
14,UBE2T
15,KIF15
16,ATAD2
17,FAM83D
18,HJURP
19,SOCS2
20,AREG
21,FANCI
22,CCNA2
23,ANP32E
24,RNASEH2A
25,HMMR
26,ANLN
27,ZWILCH
28,TOP2A
29,CDCA5
30,RACGAP1
31,CDCA3
32,TLE2
33,DLGAP5
34,MELK
35,STIL
36,DEPDC1
37,BUB1B
38,TCF19
39,CLU
40,NTN4
41,ACTA2
42,NGFR
43,CENPA
44,SYTL2
45,NBEA
46,ASF1B
47,EFHD1
48,SHCBP1
49,CEP55
50,TBC1D9
51,UHRF1
52,PBK
53,UBE2C
54,CXCL12
55,KIF4A
56,CDK1
57,PRC1
58,MYBL2
59,CDKN3
60,TPX2
61,NCAPD2
62,TACC3
63,FBP1
64,CKAP2L
65,PSRC1
66,CDCA8
67,BORA
68,OIP5
69,KIF14
70,CCNB1
71,PTTG1
72,KIF20A
73,HMGB3
74,KIF11
75,MAD2L1
76,BLM
77,CDC45
78,LAMB2
79,NCAPG
80,PLIN1
81,MLPH
82,CENPF
83,C1ORF112
84,NUF2
85,TRIP13
86,NDC80
87,TFF1
88,NUSAP1
89,AURKA
90,KIF18B
91,PDZK1
92,ASPM
93,CDC20
94,SERHL2
95,MCM2
96,GAS2L3
97,FSCN1
98,MKI67
99,RRM2
100,C14ORF132
101,GINS1
