,0
0,RRM2
1,DDR1
2,CXCL12
3,BRIP1
4,XBP1
5,PKIB
6,UBE2T
7,FAM107B
8,FEN1
9,ABCE1
10,LITAF
11,TACSTD2
12,GINS1
13,TUBB4B
14,CDK1
15,TUBA1C
16,SLC19A2
17,CLU
18,IER3
19,UBE2C
20,TUBB3
21,TUBB
22,TXNIP
23,TP53INP1
24,PRSS23
25,MTHFD1
26,TMEM150C
27,FBP1
28,NTN4
29,MCM2
30,RNASEH2A
31,VMP1
32,MLPH
33,SAT1
34,KPNA2
35,MCM7
36,SYTL2
37,SOCS2
38,SPDEF
39,HNRNPAB
40,TSKU
41,HIST1H2AC
42,IRF2BPL
43,FAM214A
44,NFKBIA
45,RFX5
46,UHRF1
47,PLEKHF2
48,MCM6
49,PBK
50,B4GALT1
51,CSTA
52,LXN
53,MRPL3
54,XPOT
55,IRF9
56,MAD2L1
57,MELK
58,SIAH2
59,PRC1
60,BRI3BP
