,0
0,LRR1
1,TUBA1B
2,LMNB1
3,ZNF710
4,BCAR3
5,KIF2C
6,MCM7
7,PCDH19
8,KPNA2
9,JPH1
10,PKIB
11,EPS8L1
12,BCAM
13,SAT1
14,HMGB2
15,NUP188
16,MR1
17,ARRB1
18,SKA3
19,PLK1
20,ESR1
21,YPEL2
22,EXO1
23,MTHFD1
24,CENPU
25,BTG2
26,FBXO5
27,SELENBP1
28,PHGDH
29,EFHD1
30,TK1
31,SHCBP1
32,FEN1
33,TBC1D9
34,CXCL12
35,MYO15B
36,MCM6
37,ERBB2
38,SGO1
39,NCAPD2
40,KIAA1524
41,WBP1
42,PHF19
43,FANCD2
44,TMPRSS2
45,PRSS8
46,PSRC1
47,ZFYVE1
48,SHROOM3
49,CSTA
50,HNRNPAB
51,HSF4
52,SLC7A8
53,COL11A2
54,BIRC5
55,KIF14
56,PTTG1
57,UCP2
58,CAPN5
59,MOV10
60,PRR11
61,LAMB2
62,LACC1
63,NCAPG
64,FAM72B
65,CENPF
66,TRIP13
67,IL17RC
68,NUSAP1
69,PARP9
70,XPOT
71,CDC20
72,SMAD3
73,MCM2
74,MKI67
75,RRM2
76,ANXA9
77,BRCA2
78,NYNRIN
79,ZNF367
80,PLEKHF2
81,XRCC2
82,PSD4
83,PBXIP1
84,SLC19A2
85,ZWINT
86,DYRK1B
87,KIF15
88,ARHGAP18
89,DBF4B
90,SOCS2
91,FAM83A
92,ERCC6L
93,LYPD3
94,MCM3
95,FANCI
96,PHLDA3
97,POLE2
98,ANLN
99,ZWILCH
100,XBP1
101,LIMA1
102,CDCA5
103,CDCA3
104,MELK
105,BUB1B
106,FAM111B
107,BCL2L1
108,IFFO2
109,GSG2
110,TP53I3
111,SYTL2
112,TMC4
113,SPDEF
114,ASF1B
115,ATP2A3
116,CEP55
117,PROM2
118,LXN
119,RFX5
120,UHRF1
121,NFKBIA
122,RFC5
123,LRP1
124,PRC1
125,SPEG
126,SLC6A12
127,TP53INP2
128,TPX2
129,SLC43A2
130,TOM1L2
131,CALCOCO1
132,GRN
133,BRIP1
134,INSR
135,PINK1
136,NCAPG2
137,CDCA8
138,DUSP9
139,RFC3
140,HIST1H2AC
141,HIST1H3E
142,CAB39L
143,ZNFX1
144,LMNB2
145,AP000769.1
146,KIAA1683
147,NPNT
148,KIF23
149,FANCA
150,BLM
151,ANO9
152,POLR3G
153,WDHD1
154,GINS2
155,MLPH
156,DSCC1
157,RNF152
158,AURKA
159,RGAG4
160,MVP
161,SERHL2
162,ATP8B2
163,FER1L4
164,C14ORF132
165,SIAH2
166,SPC25
167,GINS4
168,IGFBP5
169,BUB1
170,POLQ
171,FAM64A
172,DHFR
173,TRAFD1
174,YPEL3
175,PGPEP1
176,ESPL1
177,NCAPH
178,RECQL4
179,CRACR2B
180,EZH2
181,CASC5
182,FAM210B
183,FAM214A
184,PLXNB3
185,SLC29A1
186,TMEM97
187,QPRT
188,DEPDC1B
189,ALPK3
190,RNASEH2A
191,KAT2B
192,PLK4
193,TOP2A
194,TLE2
195,STIL
196,TCF19
197,KNSTRN
198,SLC16A1
199,TMEM150C
200,ESPN
201,STEAP3
202,NBEA
203,FKBP5
204,RGL2
205,BRI3BP
206,SMIM10L2A
207,TSKU
208,CHTF18
209,TMPO
210,PBK
211,TTF2
212,CDCA2
213,FAM107B
214,UBE2C
215,MCM10
216,CDK1
217,ACSS3
218,CDKN3
219,ORC1
220,TACC3
221,PTK6
222,PIF1
223,BCAR1
224,PCMTD1
225,LDHD
226,SH3BP4
227,TIMP3
228,CTSH
229,AURKB
230,ANK1
231,TONSL
232,BCL3
233,KIF20A
234,CAD
235,IQGAP3
236,CLMN
237,HMGB3
238,WDR62
239,CDC45
240,BRCA1
241,DBF4
242,KIF20B
243,SKA1
244,TXNIP
245,NDC80
246,CCNF
247,FUT8
248,SPDL1
249,GAS2L3
250,TROAP
251,SAPCD2
252,CREBRF
253,KIFC1
254,WHSC1
255,AQP3
256,TTK
257,HELLS
258,CAPG
259,CENPN
260,CDKN1A
261,DRAM1
262,CYFIP2
263,SPAG5
264,GEN1
265,PDSS1
266,CENPE
267,LRP10
268,HSPB1
269,SSPO
270,HES2
271,SH3GLB2
272,FDXR
273,MCM8
274,UBE2T
275,FAM83D
276,HJURP
277,TRAK1
278,UNC13D
279,CCNA2
280,ZMAT3
281,IDUA
282,TUBB4B
283,RACGAP1
284,DEK
285,DLGAP5
286,DEPDC1
287,DNAJC9
288,MCM4
289,CENPA
290,ORAI3
291,FAM72A
292,MXD4
293,PISD
294,OPTN
295,RP11-673C5.1
296,KHNYN
297,ARHGAP11A
298,RBM47
299,EPS8L2
300,SYTL1
301,NDC1
302,PRSS23
303,SYT17
304,ALDH4A1
305,KIF4A
306,TUBB
307,MYBL2
308,ELF3
309,TSC22D3
310,PLEKHA6
311,LITAF
312,VMP1
313,LPIN2
314,POLE
315,FBP1
316,BBC3
317,CENPO
318,RMI1
319,HMGB1
320,ACSS1
321,TP53INP1
322,PKMYT1
323,SMC4
324,CCNB1
325,RHOC
326,KIAA0513
327,LBR
328,CORO2A
329,CENPI
330,AP1S2
331,KIF11
332,TICRR
333,MAD2L1
334,TUBA1C
335,SGSM2
336,CENPH
337,DDIAS
338,TFF1
339,GTSE1
340,RAPH1
341,KIF18B
342,MDM2
343,CCNB2
344,"BICDL2
"
345,GINS1
346,H2AFX
