,0
0,BRIP1
1,ASF1B
2,CASC5
3,ERCC6L
4,HELLS
5,PIF1
6,GINS2
7,MCM7
8,"SGO2
"
9,TPX2
10,ORC1
11,CENPK
12,NCAPH
13,MCM8
14,CDKN3
15,ESPL1
16,MCM6
17,BUB1
18,KPNA2
19,MCM2
20,RAD54L
21,NDC80
22,POLE
23,CEP55
24,RRM2
25,SLC29A1
26,TOP2A
27,CDCA3
28,ANP32E
29,FAM72A
30,WDR62
31,RNASEH2A
32,CENPN
33,LBR
34,POLE2
35,KIF2C
36,CCNB2
37,CCNA2
38,KIAA1524
39,NCAPG
40,DHFR
41,NCAPD2
42,CENPO
43,MCM4
44,MCM10
45,SPAG5
46,ANLN
47,MYBL2
48,MCM3
49,CDCA5
50,PLK4
51,BIRC5
52,ESCO2
53,HMMR
54,CCNF
55,KIF11
56,CDCA8
57,EXO1
58,SHCBP1
59,MIS18A
60,BRI3BP
61,GTSE1
62,LMNB1
63,KIF15
64,GSG2
65,ATAD2
66,CDK1
67,GINS1
68,PBK
69,POLA2
70,TUBB
71,KIF23
72,TONSL
73,CENPI
74,NUSAP1
75,BUB1B
76,TMEM97
77,TCF19
78,FEN1
79,FBXO5
80,RP11-673C5.1
81,IQGAP3
82,CCNB1
83,CDC20
84,ARHGAP11A
85,CDCA2
86,KIF20B
87,E2F2
88,UBE2T
89,DNAJC9
90,PTTG1
91,FAM83D
92,CENPE
93,ARHGAP19
94,FANCI
95,USP1
96,DHTKD1
97,DLGAP5
98,CENPF
99,TACC3
100,DEPDC1
101,CIT
102,HJURP
103,CENPU
104,POLQ
105,KIF14
106,DDIAS
107,PSRC1
108,MTHFD1
109,SPDL1
110,RECQL4
111,OIP5
112,NEK2
113,PRR11
114,NEMP1
115,MND1
116,TROAP
117,TK1
118,STIL
119,SKA1
120,CENPA
121,MKI67
122,PHF19
123,NCAPD3
124,RACGAP1
125,PKMYT1
126,EZH2
127,CENPH
128,KIF18B
129,BRCA1
130,GAS2L3
131,UBE2C
132,AURKA
133,NCAPG2
134,WDHD1
135,KIFC1
136,ATAD5
137,FAM64A
138,XRCC2
139,ZNF367
140,BARD1
141,CEP78
142,MELK
143,ZWINT
144,FIGNL1
145,DSCC1
146,DCK
147,SPC25
148,DBF4
149,TMPO
150,FAM111B
151,FANCD2
152,DBF4B
153,KIF4A
154,PSMC3IP
155,SMC4
156,KIF20A
157,FANCA
158,PRC1
159,ZWILCH
160,WHSC1
161,BLM
162,TTK
163,BRCA2
164,CHTF18
165,RFC5
166,SKA3
167,UHRF1
168,ASPM
169,HMGB2
170,DEK
171,FAM72B
172,DEPDC1B
173,NUF2
174,GEN1
175,PLK1
176,TICRR
177,SGO1
178,CKAP2L
179,PHGDH
180,MAD2L1
181,AURKB
182,TRIP13
183,KNSTRN
184,CDC45
185,HMGB1
