,NFATC2 human tf ARCHS4 coexpression,NFATC2 human,NFATC2 mouse,NFATC2,NFATC2 (human),NFATC2 Up,NFATC2 Down
NFATC2 human tf ARCHS4 coexpression,0,0,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_human_tf_ARCHS4_coexpression/NFATC2_mouse.csv"">2</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_human_tf_ARCHS4_coexpression.csv"">27</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2__human_/NFATC2_human_tf_ARCHS4_coexpression.csv"">2</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Up/NFATC2_human_tf_ARCHS4_coexpression.csv"">6</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Down/NFATC2_human_tf_ARCHS4_coexpression.csv"">3</a></div>"
NFATC2 human,0,0,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_human/NFATC2_mouse.csv"">2</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_human.csv"">1</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2__human_/NFATC2_human.csv"">1</a></div>",0,0
NFATC2 mouse,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_human_tf_ARCHS4_coexpression/NFATC2_mouse.csv"">2</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_human/NFATC2_mouse.csv"">2</a></div>",0,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_mouse.csv"">2</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2__human_/NFATC2_mouse.csv"">4</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Up/NFATC2_mouse.csv"">1</a></div>",0
NFATC2,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_human_tf_ARCHS4_coexpression.csv"">27</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_human.csv"">1</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_mouse.csv"">2</a></div>",0,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2__human_.csv"">5</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_Up.csv"">11</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_Down.csv"">17</a></div>"
NFATC2 (human),"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2__human_/NFATC2_human_tf_ARCHS4_coexpression.csv"">2</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2__human_/NFATC2_human.csv"">1</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2__human_/NFATC2_mouse.csv"">4</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2__human_.csv"">5</a></div>",0,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Up/NFATC2__human_.csv"">3</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite; 2px; height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Down/NFATC2__human_.csv"">2</a></div>"
NFATC2 Up,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Up/NFATC2_human_tf_ARCHS4_coexpression.csv"">6</a></div>",0,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Up/NFATC2_mouse.csv"">1</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_Up.csv"">11</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Up/NFATC2__human_.csv"">3</a></div>",0,0
NFATC2 Down,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Down/NFATC2_human_tf_ARCHS4_coexpression.csv"">3</a></div>",0,0,"<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2/NFATC2_Down.csv"">17</a></div>","<div class = ""df-wrap"" style = ""border: 1px solid; font-weight:bold; background-color: Floralwhite;  height: 1.5em; width: 21px; border-radius: 4px; color: black; float: right; text-align: center""><a style = ""text-decoration: none; color: black;"" href = ""/edit/Intersection_Sets/NFATC2_Down/NFATC2__human_.csv"">2</a></div>",0,0
