,0
0,FXYD1
1,GHR
2,DBI
3,COL3A1
4,SNCG
5,RNASE4
6,TSPO
7,FASN
8,MCAM
9,SERPING1
10,CCDC80
11,GPX3
12,SUCLG1
13,RBP4
14,APLP2
15,RASA3
16,LTBP4
17,HADHB
18,PPARG
19,PDHB
20,GPD1
21,ACTA1
22,NNAT
23,DPT
24,SOD3
25,ACSL1
26,SDPR
27,PDHA1
28,PLIN4
29,AHNAK
30,SCD1
31,NPC2
32,MGLL
33,LGALS1
34,NDRG1
35,ART3
36,SERPINA3N
37,CES1D
38,ADIG
39,CST3
40,HSP90AB1
41,SUN2
42,TMEM43
43,ACADM
44,PTMS
45,COL1A1
46,UQCRB
47,AOC3
48,MYLK
49,SOD1
50,LPL
51,PNPLA2
52,OGDH
53,FMO1
54,LIPE
55,ACTA2
56,ATP1B3
57,GNAS
58,PPP2R5A
59,CDO1
60,CD74
61,DCN
62,ACLY
63,RASD1
64,ME1
65,SPARC
66,CFD
67,TALDO1
68,SLC1A5
69,COX6C
70,RPS23
71,PHYH
72,PRKCDBP
73,IGFBP6
74,ETFB
75,ECHS1
76,THRSP
77,RARRES2
78,SLC25A1
79,MYH11
80,ECE1
81,SDHC
82,NDUFB3
83,PXMP2
84,MYL1
85,TAGLN
86,ATP2A1
87,SDHD
88,MYL12B
89,GSN
90,APOE
91,TIMP3
92,CAV1
93,PCK1
94,CAR3
95,C4A
96,NDUFB9
97,CIDEA
98,COL4A2
