,0
0,SFXN1
1,ELF5
2,SLC12A2
3,CAV1
4,KCNN4
5,DUSP6
6,AIM1
7,WWC1
8,THBS1
9,GJA1
10,GHR
11,SGK1
12,SLC25A10
13,RAB3D
14,KIT
15,SLC7A5
16,HIF1A
17,PHLDA1
18,CEBPB
19,SOCS2
20,MGP
21,RASD1
