,0
0,LIMA1
1,TMEM116
2,DTX3L
3,LYPD6B
4,AGR2
5,WDR54
6,AIM1
7,BTG1
8,SERINC5
9,TLE1
10,SGK1
11,NECAB1
12,SYTL2
13,GALNT7
14,CEACAM6
15,WIPI1
16,SIDT1
17,SLC26A2
18,PRSS23
19,PSMB9
20,SEPT3
21,VTCN1
