,Intersection,A-B,B-A,Union,FET_pval,intersect_size,union_size,Jaccard,BH_sig,BH_corrected_pval,-log10_BH_pval
"('NFATC2', 'NFATC1')","CDKN1A EGR2 HIVEP2 NR4A3 TNFRSF1B TIMP3 SMAD3 COL5A1 FOXP1 TNS3 TGFB2 RORA VIM TINAGL1 JAG1 PLEC HOOK2 PRDM1 TGFBR3 SGK1 HHAT GSE1 MAF MKL1 CEBPB LGALS3 CXCL10 DUSP6 IRF8 ST6GAL1 ELMO1 FOSL2 PREX1 IRS2 NDRG1 NAV2 DDIT4 GAS7 THBS1 FOXO3 EBF1 BCL11B TGFBI NOTCH1 IRF1 ATXN1 MYC PFKFB3 TNFAIP3 LOXL2 NRP1 FLI1 PRKCB EGFR STAT3 ICAM1 CYR61 JUN NFIA BCL6 PLAU SLC2A1 TNC RIPOR2 RUNX3 FOXO1 NR4A1 LRIG1 ZMIZ1 PRKCA ZFP36L2 NR4A2 SOX9 LCP1 ETS2 GATA3 MTSS1 TRIB1 TGFBR2 DHRS3 KLF4 KLF6 CHST11 HIVEP3 ITPKB PTP4A3 ID2 ANK1 PRKCH PTGS2 ZFHX3 ITM2C ETS1 TRAF3 PLAUR RARA DDR2 TPM1 ITGB2 EGR1 NRP2 IGFBP3 BACH2 PDPK1 NFIC ABLIM1 CD44 ZEB2 ZBTB16 ZFP36L1 EFNA2 CTGF CD82 S1PR1 SOCS3 TIAM1 SERPINB8 RUNX1 ATF3 NEDD9 ABCA1 ARL4C PTPRJ PRKCSH GADD45B SMIM29
 MLF2 CELF2 COL4A2 BTG2 TCF4 FLNB MEF2C EGR3 AFF3 FOS TXNIP COL4A1 AUTS2 PMEPA1 RUNX2 STAT1 NFIX DUSP4 SOX4 FYN HES1 AHNAK ADAMTS1 PDE4B SERPINE2 EPAS1 CXCL12 ARID5B ITGA6 HOOK1 ID3 IGF1R FGFR1 CCND2 DUSP5 ARHGEF3 NCOR2 LMNA CCL2 IKZF1 SH3PXD2A NCOA3 PDGFB PIK3R1 VEGFA CD74 DLC1 FN1 HMOX1 GSN JUNB TCF7L2 IER3 LEF1 DUSP1 FOSB PRG2 CSF1 TNS1 PXDN LAPTM5 CCND1 SERPINE1 BCL2L11 BCL11A CXCR4 BCL2 CD83 CHD6 SMAD7 CD9 BHLHE40 PKN1 AURKB EMP1 MAFB DPYSL2 CELSR1 RGS2 NR3C1 VCAN",ITGB3 CREB5 PDE4D SORL1 SLC2A3 PBX1 PLK2 KLF5 MYOF SYNPO PRNP ENC1 ANK3 SORBS1 MELTF TCF7 CRIM1 SATB1 FAM129A KCNMA1 SPATA13 RASSF5 FAM46C SEMA4D GEM INPP5D RASSF2 VCAM1 APOE IGFBP4 ATP2A3 DUSP10 LIF KLF9 MGLL PPP1R16B PIGU ATP2B4 KCTD12 HEG1 HDAC9 CD36 NEDD4L INPP4B CACNA1A ZBTB20 RGS16 CITED2 ADGRG1 BMP2 PLXNC1 FLT1 CSF1R SPP1 TNIK AHR SLC8A1 SLC7A5 PAG1 SULF2 SOX5 CTSS NAV1 FBXO32 CAMK1D MKI67 C3 CYFIP2 IQGAP2 NTRK2 ADCY7 SLC40A1 TGM2 NFATC1 ADAM19 SLC6A6 PMAIP1 PLPP3 DOCK10 PTPRC DST PLXDC2 CADM1 CHEK2 KIT IGFBP5 PLXNA2 RASGRP1 ITGA4 LPAR1 STAT4 SYNE1,ACTN1 FOSL1 STAT5A PMP22 SPSB1 SOCS2 TSC22D3 CTDSP2 CUX1 ADM CD3EAP LRRFIP1 PIM1 LGALS1 GADD45G WIPF1 PHLDA1 CEBPD RGS3 BIRC3 NFKB1 ADGRE5 MAFF ZFP36 SOCS1 IRF2 MECOM RXRA HIF1A COLEC11 LPP TGFB1 RREB1 MAP3K8 HBEGF PLXND1 ID1 RCSD1 BCL3 NFKBIZ CAPG GATA2 TIMP2 MYH9 GDF15 GADD45A ANXA2 ST3GAL1 CD55 RELB NFATC2 HSPB1 COL18A1 CLU KDM6B SMARCA2 CEBPA RIN3 LHFPL2 LITAF LYN GRB10 NOTCH2 ZFPM1 EPHA2 NR2F2 RHOB DNPEP TGIF1 NFKBIA SDC4 NFIL3 ELK3 CASZ1 TRPS1 TNFAIP2 MEIS1 ITGA5 AXL FOXC1 LTBP1 LFNG NFKB2 RASA3 TRIO HECA KLF2 ZHX2 CDK6 CBFA2T3 SMAD6 COL1A1,"ACTN1 ITGB3 NR4A3 PMP22 SORL1 TIMP3 SPSB1 SLC2A3 PBX1 FOXP1 TNS3 TGFB2 SOCS2 VIM PLK2 TINAGL1 CTDSP2 PLEC HOOK2 CUX1 MYOF CD3EAP LRRFIP1 SYNPO GSE1 MAF SORBS1 LGALS3 PHLDA1 RGS3 MELTF NFKB1 TCF7 IRF8 ST6GAL1 CRIM1 ZFP36 SOCS1 ADGRE5 IRF2 FOSL2 MECOM SATB1 FAM129A COLEC11 TGFB1 IRS2 NAV2 THBS1 KCNMA1 NOTCH1 RASSF5 FAM46C IRF1 ATXN1 PFKFB3 PLXND1 PRKCB EGFR STAT3 INPP5D CYR61 JUN ID1 SLC2A1 RIPOR2 RCSD1 BCL3 NFKBIZ FOXO1 GATA2 NR4A1 IGFBP4 LRIG1 ATP2A3 NR4A2 SOX9 ETS2 GATA3 TIMP2 MTSS1 MYH9 KLF4 KLF6 MGLL HIVEP3 CHST11 ITPKB PTP4A3 CD55 ANXA2 ST3GAL1 PPP1R16B NFATC2 ATP2B4 HEG1 NEDD4L KDM6B PTGS2 CACNA1A ZFHX3 ZBTB20 SMARCA2 TRAF3 DDR2 ITGB2 EGR1 CITED2 RIN3 NRP2 IGFBP3 ABLIM1 CD44 LHFPL2 LYN CD82 SOCS3 TIAM1 RUNX1 ATF3 GRB10 NEDD9 NOTCH2 CSF1R TNIK PTPRJ RHOB DNPEP CELF2 TGIF1 SULF2 SOX5 NFKBIA CAMK1D SDC4 COL4A1 MKI67 C3 DUSP4 CYFIP2 AHNAK PDE4B TRPS1 ADCY7 SLC40A1 MEIS1 HOOK1 ID3 IGF1R TGM2 FGFR1 AXL FOXC1 ARHGEF3 SLC6A6 LFNG NFKB2 NCOR2 CCL2 PLPP3 SH3PXD2A NCOA3 PIK3R1 VEGFA KLF2 KIT FN1 DLC1 GSN JUNB TCF7L2 IGFBP5 DUSP1 PRG2 RASGRP1 ITGA4 CSF1 LPAR1 LAPTM5 CCND1 STAT4 BCL2L11 BCL11A AURKB SMAD7 CBFA2T3 COL1A1 RGS2 NR3C1 CDKN1A EGR2 FOSL1 CREB5 HIVEP2 STAT5A PDE4D TNFRSF1B SMAD3 COL5A1 TSC22D3 RORA JAG1 PRDM1 KLF5 TGFBR3 SGK1 ADM HHAT PIM1 PRNP ENC1 MKL1 LGALS1 GADD45G ANK3 WIPF1 CEBPB CXCL10 CEBPD BIRC3 DUSP6 MAFF ELMO1 RXRA PREX1 HIF1A LPP RREB1 NDRG1 DDIT4 GAS7 MAP3K8 SPATA13 FOXO3 HBEGF EBF1 BCL11B TGFBI MYC TNFAIP3 LOXL2 SEMA4D NRP1 FLI1 GEM ICAM1 RASSF2 NFIA BCL6 PLAU TNC VCAM1 APOE RUNX3 CAPG ZMIZ1 PRKCA ZFP36L2 LCP1 DUSP10 TRIB1 GDF15 TGFBR2 DHRS3 LIF KLF9 GADD45A ID2 RELB ANK1 HSPB1 PIGU COL18A1 KCTD12 CLU HDAC9 CD36 PRKCH INPP4B ITM2C RGS16 ETS1 CEBPA PLAUR RARA TPM1 ADGRG1 BACH2 PDPK1 BMP2 NFIC ZEB2 PLXNC1 ZBTB16 LITAF ZFP36L1 EFNA2 CTGF S1PR1 FLT1 SERPINB8 ABCA1 SPP1 AHR ARL4C ZFPM1 EPHA2 PRKCSH NR2F2 GADD45B SLC8A1 SMIM29
 MLF2 COL4A2 BTG2 SLC7A5 TCF4 PAG1 FLNB MEF2C EGR3 CTSS NAV1 AFF3 TXNIP FOS FBXO32 AUTS2 PMEPA1 RUNX2 STAT1 NFIX NFIL3 SOX4 HES1 FYN ELK3 CASZ1 IQGAP2 NTRK2 ADAMTS1 SERPINE2 EPAS1 CXCL12 TNFAIP2 ARID5B ITGA6 ITGA5 NFATC1 CCND2 DUSP5 LTBP1 ADAM19 PMAIP1 LMNA RASA3 DOCK10 IKZF1 PDGFB PTPRC DST TRIO PLXDC2 CADM1 CD74 CHEK2 HECA HMOX1 IER3 LEF1 ZHX2 FOSB PLXNA2 TNS1 PXDN SERPINE1 CXCR4 CDK6 BCL2 CHD6 CD9 BHLHE40 CD83 DPYSL2 PKN1 CELSR1 EMP1 MAFB SMAD6 SYNE1 VCAN",0.0,207,391,0.5294117647058824,True,0.0,172.67516524808505
"('NFATC2 human tf ARCHS4 coexpression', 'NFATC1 human tf ARCHS4 coexpression')",HLA-E HIVEP2 FNBP1 TAP2 FMNL1 WAS HLA-B SUN2 CYTH1 LRCH4 CORO1A GRK2 CD37 RNF166 PACS1 TMC8 GMIP WIPF1 NLRC5 LENG8 STAT6 DEF6 TCF7 RP11-564A8.8 PARVG HLA-A CCND3 TGFB1 ARHGAP30 TMC6 STK10 ZAP70 PSTPIP1 RAC2 AKNA IL10RA RASSF5 PTK2B P2RY8 PDCD1 SEMA4D FLI1 INPP5D LSP1 RCSD1 RUNX3 PTPRCAP SASH3 MOB3A ATP2A3 CD3E LCP1 CD5 ARHGEF1 CCDC88B ITPKB SH3BP1 CD48 PIK3CD PLEKHA2 LIMD2 GRK6 CCDC88C TYK2 PRKCH RASGRP2 GPSM3 JADE2 ETS1 CXCR5 TNFRSF14 TRAPPC10 PLCB2 RNPEPL1 MLLT6 DENND1C MAP4K1 FAM53B ARHGAP25 BTLA JUND KLF13 SEPT6 SIPA1 ARHGAP45 PTPRJ IKZF3 SPOCK2 JAK3 DOCK2 FAM78A CTD-2207O23.3 CSK TBC1D10C FCMR CD53 HCLS1 SEPT9 IL16 EVL ACAP1 NUP210 ADCY7 EML3 DOCK8 CTB-133G6.1 NCKAP1L SF1 FGD3 GBP2 ITGAL RASA3 PPM1M APBB1IP CCDC69 IKZF1 KLF2 MYO9B ITK UBA7 JUNB PBXIP1 PRKD2 RASAL3 LCP2 TAGAP LAPTM5 CD6 PSD4 MSN MYO1G ARHGAP9 ARHGAP4 ATHL1 CDC42SE1,"FYB DENND2D TIGIT TPT1 RPL12P32 AOAH NFATC3 ITSN2 SRRM2 TSC22D3 FAM8A1 PIGW P2RY10 AC068533.7 SLFN5 CX3CR1 FAM107B GIMAP1-GIMAP5 RNF44 RP11-686D22.10 TKFC TRAF3IP3 KMT2D STK4 RASSF3 TAP1 RAD51B LNPEP ADGRE5 NPM1P45 NLRC3 IRF2 TRBV28 PREX1 RPGR NFYA MTND3P22 RP11-141O19.1 ARAP2 RP11-1166P10.6 KIAA0430 RP11-236F9.2 CD7 DOCK11 ATXN7 FAM65B TNFAIP3 PTPN18 ERN1 SP100 PIGA GHDC ZNF276 CLEC2D TCEB3CL RAP1A CARD8 IFI16 SRSF9P1 IGLV3-12 DHX8 IL7R MCOLN2 RP11-381E24.4 YBX1P4 LAT PLEKHA3P1 SLC7A6 SEPT1 SNAPC2 KDM2A CTD-2200P10.1 SH3KBP1 ARHGEF6 ZZEF1 GPR174 KCNA3 NBEAL2 TRAV26-1 RP11-1094M14.8 PTPN22 FAM201B TRBC2 TNFSF12-TNFSF13 ATM FBXL14 BTN3A3 TRANK1 GIMAP5 BTN3A1 AC013264.1
 SYNRG C11ORF21 CYLD TEP1 BEND3P1 STAT5B RP11-19N8.2 RBL2 CD28 TRIM38 EMB GIMAP4 EVI2B ZKSCAN7 RP11-586K12.13 CARMIL2 TDGP1 GPRIN3 CYTIP RNF213 TXNIP SPG11 MBNL1 HARS2 ZNF831 SSH2 ANKMY1 CTD-2021A8.2 FYN SDPR KRT9 RP4-800M22.1 DNAH1 GVINP1 SLFN12L NFATC1 PARP8 E2F3P1 ARHGEF3 TRAV23DV6 STK17B SH2D2A OGT CENPVP1 DOCK10 GIMAP2 AC008694.2 KRT73 RP11-778J16.2 PTPRC CASP8 GIMAP8 ARHGDIB CARD11 PRF1 IL2RB CD244 SIDT1 ANKRD44 AKAP13 LGALS8 SYNE3 RASGRP1 ITGA4 CD247 RP11-454P7.3 CERKL NLRP1 GIMAP1 NUFIP1 JAK1 TMEM63A SAMHD1","MED15 DCAF15 KCNAB2 FCGR2B STAT5A PPP1R18 BTK TNFRSF1B TYMP STIM1 TNIP1 CTDSP1 UBALD2 NCF1C KIAA0040 CH507-9B2.1 NRROS FERMT3 GLTSCR2 EHD1 DGKZ HDAC7 TCIRG1 PLEKHM2 CD84 NFKB1 IL4R PPTC7 CD4 PLEKHO2 EHBP1L1 PARP12 LGALS9 ARAP1 C17ORF62 ZC3H12A ZNF865 GGA3 RBM38 ARID5A RPS6KA1 PTPN6 PILRA PLEKHO1 PPP1R9B THEMIS2 TMEM259 BCL3 PIK3R5 REXO1 SBNO2 SHKBP1 CORO7 ANXA11 ZNF316 SMAP2 SIGLEC10 MKNK2 PARP10 BTG1 GRAMD1A RELB PIM3 PPP1R16B PPP6R1 XAB2 RHOG ARHGAP27 CLASRP MGAT1 KDM6B CYBA TWF2 MEF2D AP5B1 GAK CYTH4 GRAP DNM2 ITGB2 RIN3 CD19 ALOX5 ANAPC2 CLCN7 SYVN1 SH3TC1 SNX20 DBNL LYN IGHD MAP4K2 HDAC10 STX11 PAX5 GNAI2 MICAL1 MAPKAPK2 CLEC17A RFTN1 TLN1 ABCA7 DOK3 AKAP17A ZMIZ2 GRB2 IRF5 TRABD TOM1 TICAM1 DPP7 RAPGEF1 PIK3AP1 CCM2 CD79A SYNGR2 FGR WDR81 RAB43 FCRL1 IGHM TEPSIN DENND4B GRAPL FHOD1 FCRL3 CRTC2 ABHD17A USF2 WDFY4 RELT UNC93B1 AES CARMIL2
 NFKB2 ENGASE VAV1 RP11-330H6.5 P2RX5 STXBP2 MAN2B1 MOB2 SPI1 PRKCD UNC13D ICAM3 ARRDC2 STK40 CYB561A3 CD22 FBRS TRAF1 BLK ARHGEF2 WDTC1 TFEB RNASET2 BCL2 OGFR PKN1 HLA-DRB1 PNRC1 SYK ARSA","DCAF15 HLA-E FYB DENND2D FCGR2B TIGIT TPT1 RPL12P32 AOAH STIM1 FMNL1 SRRM2 CTDSP1 WAS PIGW P2RY10 AC068533.7 SLFN5 CX3CR1 EHD1 FAM107B RNF166 PACS1 TMC8 HDAC7 MOB2 STAT6 PLEKHM2 KMT2D CD84 DEF6 RAD51B NFKB1 TCF7 IL4R LNPEP ADGRE5 NPM1P45 IRF2 PARVG TRBV28 PLEKHO2 EHBP1L1 PARP12 TGFB1 RPGR MTND3P22 RP11-141O19.1 C17ORF62 ZC3H12A RAC2 KIAA0430 GGA3 RP11-236F9.2 IL10RA RASSF5 CD7 DOCK11 RPS6KA1 ATXN7 FAM65B PTPN18 PIGA GHDC INPP5D ZNF276 LSP1 RCSD1 TCEB3CL CARD8 BCL3 IFI16 PIK3R5 SRSF9P1 REXO1 SASH3 IGLV3-12 ATP2A3 SHKBP1 CD3E IL7R MCOLN2 SPI1 CD5 ARHGEF1 CCDC88B SMAP2 ZNF316 SLC7A6 SEPT1 PARP10 KDM2A ITPKB CTD-2200P10.1 PPP6R1 SH3KBP1 PPP1R16B CD48 ARHGEF6 PIK3CD GPR174 KCNA3 XAB2 ARHGAP27 CLASRP RP11-1094M14.8 MGAT1 KDM6B TWF2 GPSM3 AP5B1 TNFSF12-TNFSF13 CXCR5 CYTH4 GRAP PLCB2 ATM RNPEPL1 DENND1C ITGB2 RIN3 CD19 BTN3A3 TRANK1 BTN3A1 FAM53B SYNRG SH3TC1 SNX20 LYN IGHD ZNF865 MAP4K2 HDAC10 STX11 GNAI2 MAPKAPK2 ARHGAP45 CYLD TEP1 BEND3P1 RFTN1 TLN1 PTPRJ DOK3 RP11-19N8.2 CD28 TRIM38 IRF5 GIMAP4 DOCK2 FAM78A CTD-2207O23.3 CSK RP11-586K12.13 TDGP1 TOM1 CYTIP RAPGEF1 PIK3AP1 SPG11 MBNL1 CCM2 CD79A HARS2 FGR IL16 SYNGR2 ANKMY1 RAB43 EVL TMEM63A CTD-2021A8.2 FCRL1 ACAP1 IGHM SDPR RP4-800M22.1 ADCY7 FHOD1 ABHD17A DNAH1 GVINP1 EML3 DOCK8 SLFN12L NCKAP1L PARP8 UNC93B1 FGD3 GBP2 E2F3P1 ARHGEF3 AES SH2D2A CENPVP1 NFKB2 ENGASE RP11-330H6.5 RP11-778J16.2 GIMAP8 ARHGDIB KLF2 PRKCD ANKRD44 UBA7 JUNB ARRDC2 STK40 CYB561A3 PBXIP1 LGALS8 CD22 RASGRP1 ITGA4 CD247 LCP2 TAGAP LAPTM5 CD6 FBRS ARHGEF2 TFEB ARHGAP9 ARHGAP4 NUFIP1 HLA-DRB1 JAK1 PNRC1 SAMHD1 CDC42SE1 MED15 HIVEP2 FNBP1 KCNAB2 STAT5A PPP1R18 BTK TNFRSF1B TYMP TAP2 NFATC3 ITSN2 TNIP1 TSC22D3 UBALD2 NCF1C FAM8A1 HLA-B CYTH1 SUN2 LRCH4 KIAA0040 CORO1A CH507-9B2.1 NRROS FERMT3 GRK2 GLTSCR2 CD37 DGKZ GIMAP1-GIMAP5 GMIP RNF44 RP11-686D22.10 TCIRG1 TKFC WIPF1 NLRC5 LENG8 TRAF3IP3 STK4 RASSF3 TAP1 NLRC3 PPTC7 RP11-564A8.8 CD4 HLA-A CCND3 PREX1 LGALS9 NFYA ARHGAP30 TMC6 ARAP2 STK10 ARAP1 PSTPIP1 ZAP70 RP11-1166P10.6 RBM38 AKNA PTK2B ARID5A P2RY8 PTPN6 TNFAIP3 PDCD1 SEMA4D PILRA FLI1 ERN1 SP100 PLEKHO1 PPP1R9B THEMIS2 TMEM259 CLEC2D RAP1A RUNX3 PTPRCAP MOB3A SBNO2 DHX8 LCP1 CORO7 ANXA11 RP11-381E24.4 YBX1P4 LAT SIGLEC10 PLEKHA3P1 SNAPC2 MKNK2 BTG1 GRAMD1A RELB PIM3 SH3BP1 ZZEF1 PLEKHA2 RHOG NBEAL2 GRK6 LIMD2 TRAV26-1 CCDC88C PTPN22 TYK2 PRKCH RASGRP2 FAM201B CYBA MEF2D JADE2 TRBC2 ETS1 TNFRSF14 GAK TRAPPC10 DNM2 MLLT6 FBXL14 MAP4K1 GIMAP5 ALOX5 ANAPC2 CLCN7 AC013264.1
 SYVN1 DBNL ARHGAP25 BTLA JUND PAX5 KLF13 SEPT6 SIPA1 C11ORF21 MICAL1 CLEC17A ABCA7 STAT5B AKAP17A ZMIZ2 RBL2 GRB2 IKZF3 SPOCK2 JAK3 EMB EVI2B ZKSCAN7 CARMIL2 TRABD TBC1D10C GPRIN3 DPP7 TICAM1 FCMR RNF213 TXNIP CD53 HCLS1 SEPT9 ZNF831 SSH2 WDR81 FYN TEPSIN KRT9 DENND4B NUP210 GRAPL FCRL3 CRTC2 USF2 CTB-133G6.1 WDFY4 NFATC1 RELT SF1 CARMIL2
 TRAV23DV6 STK17B OGT ITGAL RASA3 PPM1M VAV1 APBB1IP DOCK10 IKZF1 CCDC69 GIMAP2 AC008694.2 KRT73 PTPRC CASP8 IL2RB P2RX5 CARD11 PRF1 SIDT1 STXBP2 CD244 MYO9B ITK MAN2B1 UNC13D ICAM3 AKAP13 SYNE3 PRKD2 RASAL3 RP11-454P7.3 TRAF1 PSD4 CERKL NLRP1 MSN BLK WDTC1 MYO1G BCL2 OGFR RNASET2 GIMAP1 PKN1 ATHL1 SYK ARSA",3.335818444625173e-175,135,463,0.2915766738660907,True,2.112685014929276e-173,172.67516524808505
