,0
0,PROM1
1,CXCL12
2,FCGBP
3,MYH11
4,COL5A2
5,GSTM2
6,DCN
7,ENPP2
8,TSPAN7
9,ADD3
10,TAGLN
11,SDPR
12,KRT5
13,CFD
14,CFI
15,CSRP1
16,ADAMTS1
17,CAV1
18,PTN
19,RBP4
20,AOC3
21,CXCL14
22,HBB
23,IGFBP6
24,ACTA2
25,GPX3
26,OXTR
27,G0S2
28,THRSP
29,PRNP
30,GHR
31,CITED1
32,TNXB
33,MYLK
34,XDH
35,SLPI
36,MFAP4
37,MIA
38,PLIN1
39,LPL
40,TXNIP
41,SERPING1
42,SOD3
43,COL5A1
44,COX6C
45,PPARG
46,FMO1
47,TNNI2
48,PCOLCE2
49,PPAP2B
50,APOD
51,AGT
52,DPT
53,CDO1
54,MMP13
55,FN1
56,IGF1
57,IL17B
58,MMP7
59,NDRG2
60,MGP
61,KRT15
62,PENK
63,ANXA1
64,FHL1
65,FABP4
66,HBA1
67,FXYD1
68,RASD1
69,PLIN4
