,0
0,SERPING1
1,APOD
2,CXCL12
3,CITED1
4,CFI
5,ART3
6,MYH11
7,MFAP4
8,AQP1
9,C4A
10,DUSP6
11,AREG
12,CDH1
13,ENPP2
14,IGFBP2
15,CFD
16,DCN
17,TSPAN7
18,CPA3
19,PPAP2B
20,GSTM2
21,CLU
22,IL17B
23,ALCAM
24,PLIN4
25,HBB
26,PENK
27,IGF1
28,RNASE4
29,HBA1
30,KRT5
31,TAGLN
32,THRSP
33,PTN
34,FMO1
35,KRT15
36,ANXA1
37,FXYD1
38,IGFBP4
39,ZFP36
40,MSLN
41,TNXB
42,CAV1
43,COTL1
44,GPX3
45,ACTA2
46,CXCL14
47,FHL1
48,EHD2
49,IGFBP6
50,GHR
51,MMP13
52,G0S2
53,KRT18
54,AOC3
55,OXTR
56,ITGA3
57,FABP4
58,CSRP1
59,FCGBP
60,PLIN1
61,CPXM1
62,XDH
63,SDPR
64,CDO1
65,DPT
