,0
0,ID3
1,HSP90B1
2,AREG
3,MORF4L1
4,PSMB3
5,NDUFA4
6,CLU
7,BTG1
8,SGCG
9,SAT1
10,SEPP1
11,YWHAQ
12,ATP5B
13,G6PD
14,PRDX1
15,TAGLN2
16,MGST1
17,S100A11
18,KRT18
19,COMT
20,SDCBP
21,SELENBP1
22,NDUFB9
23,MDH1
24,FAM107B
25,REEP5
26,HMGN1
27,GABARAP
28,ITM2B
29,LAPTM4B
30,PMP22
31,B2M
32,RPS26
33,TXNIP
34,DYNLT3
35,MIF
36,RAN
37,ATP5G3
38,FXYD3
39,FHL1
40,ARL6IP5
41,LXN
42,S100A10
43,PPIA
44,PLK2
45,CD24
46,HSP90AB1
47,HSPA8
48,RPL9
49,MT2A
50,TACSTD2
51,SEC61G
52,CDH1
53,TUBA1C
54,CEBPB
55,SLC25A5
56,CAPNS1
57,PTTG1IP
58,EPCAM
59,COX6C
60,TMSB4X
61,UQCRFS1
62,ID2
63,CD164
64,RPL27
65,BNIP3
66,XBP1
67,DSP
68,TUBB4B
69,ANXA2
70,MYL12A
71,MYL12B
72,ENO1
73,GAPDH
74,PRSS23
75,EEF2
76,KRT8
77,CST3
78,CD63
79,SLC12A2
80,GLO1
81,HSPA1B
