,0
0,MTHFD1
1,CAD
2,SLC19A2
3,LRP1
4,FANCA
5,CDKN1A
6,MOV10
7,SPAG5
8,PRR11
9,TACC3
10,CDC45
11,SGSM2
12,LAMB2
13,CENPH
14,MXD4
15,PLXNB2
16,HSPB8
17,DNMT1
18,NCAPG2
19,FKBP5
20,TSPYL2
21,EPB41L5
22,SYTL1
23,UNC13D
24,TIMP3
25,COL6A1
26,SPATA20
27,TMEM97
28,MGAT4A
29,TIMELESS
