,0
0,BRINP2
1,PFAS
2,NPM3
3,GEMIN5
4,CCND1
5,ZPR1
6,SLC16A1
7,E2F6
8,TPD52L1
9,FHL1
10,IGF1R
11,IGFBP4
12,SLC29A1
13,PTP4A1
14,PPM1K
15,TMPRSS3
16,TSKU
17,ABCE1
18,HSPA8
19,NME1
20,DDX21
21,RUVBL1
22,NRIP1
23,DOK7
24,HSPB8
25,WDR77
26,FKBP4
27,NAB2
28,NOLC1
29,NBPF4
30,MREG
31,SLC19A2
32,TUBB6
33,EGR3
34,SIAH2
35,CXCL12
36,HSP90AB1
37,MYC
38,TIPARP
39,FABP5
40,HSPH1
41,CA12
42,GREB1
43,MPPED2
44,SLC26A2
45,NPM1
46,ADCY9
47,SEH1L
48,RAPGEFL1
49,TFF1
50,PRSS23
51,PKIB
52,AREG
53,UTP20
54,PUS7
55,FJX1
56,CISH
57,CTSD
58,SLC25A15
59,C1QBP
60,PAK1IP1
61,SSR3
62,MAK16
63,PPM1E
64,LONRF2
65,NOP56
66,NOP2
67,CAP2
68,RERG
69,RBBP8
70,LYAR
71,RPL22L1
72,PDZK1
73,WDR43
74,ABAT
75,RBM24
76,RARA
77,PRMT3
78,WDR3
