,0
0,MUC1
1,DDR1
2,C14ORF132
3,IL24
4,IGFBP5
5,AREG
6,PSD4
7,SLC43A2
8,HSF4
9,INPP4B
10,MAT1A
11,UNC13D
12,QPRT
13,ELF3
14,FAM63A
15,APOA1
16,FAM214A
17,PDZK1
18,HSP90AA1
19,SGSM2
20,PADI3
21,TECPR1
22,TLE3
23,PIK3R3
24,YPEL5
25,NRIP1
26,LRP10
27,MXD4
28,C1QTNF6
29,TP53INP1
30,TXNIP
31,GREB1
32,KCNK6
33,SLFN5
34,SYTL2
35,IGF1R
36,RPS6KA3
37,TUBA1B
38,BCAM
39,RHOB
40,FOXA1
41,LXN
42,ZNF703
43,TFF1
44,PTK6
45,IL20
46,LONRF2
47,TRIM55
48,ACSS1
49,TCOF1
50,CTSD
51,FCMR
52,TMC4
53,BCAR3
54,FUT8
55,ERBB2
56,LAMB2
57,PLEKHA6
58,MUC5B
59,HSPB8
60,CXCL12
61,TOM1L2
62,THSD4
63,ALDH4A1
64,ACSS3
65,RARA
66,OBSL1
67,ADCY5
68,SPEG
69,PRSS23
70,SLC29A1
71,CCND1
72,ATP8B2
73,CLIC3
74,PDLIM3
75,TIMP3
76,PARP9
77,ABAT
78,TMEM38B
