,0
0,EFNA1
1,SMOX
2,GAB2
3,CXCL12
4,NOP56
5,LONRF2
6,BCL9L
7,IRF2BPL
8,PIK3R3
9,C1ORF226
10,RNF43
11,CCDC88C
12,BCAR3
13,RBBP8
14,SGK223
15,DOK7
16,CRKL
17,WDR43
18,ZNF703
19,NRIP1
20,TIPARP
21,FOXC1
22,KCNK5
23,RCL1
24,MREG
25,IL24
26,FAM63A
27,C8ORF46
28,MYC
29,IL20
30,SIAH2
31,RARA
32,HSPB8
33,IGFBP4
34,KCNK6
35,TMA16
36,C1QTNF6
37,MYB
38,CCND1
39,FAM60A
40,TGIF2
41,TSKU
42,PDZK1
43,SOCS2
44,ASB13
45,RAPGEFL1
46,PRKCD
47,RHOBTB1
48,SLC26A2
49,EGR3
50,S1PR3
51,KCTD6
52,FABP5
53,AREG
54,RBM24
55,PMAIP1
56,PGR
57,FAM110C
58,RHOU
59,TPBG
60,FAM107B
