,0
0,UBE2C
1,CDH1
2,ZWILCH
3,CCNB1
4,PTTG1
5,FAM72D
6,CDK1
7,KIF20A
8,RACGAP1
9,ADIRF
10,AMIGO2
11,PRC1
12,AGR2
13,FOXA1
14,CDKN3
15,CLU
16,TPX2
17,DHCR24
18,NTN4
19,MAD2L1
20,ZG16B
21,KPNA2
22,NPY1R
23,ISG15
24,GATA3
25,FBP1
26,TCN1
27,GPD1L
28,MLPH
29,SYTL2
30,S100P
31,SLC7A5
32,IGFBP4
33,UBE2T
34,KRT18
35,EPB41L4A-AS1
36,TFF1
37,UBE2S
38,GRB14
39,FAM83D
40,GPR160
41,GSTM3
42,SOCS2
43,CA12
44,CDC20
45,S100A7
46,EGR3
47,RRM2
48,FABP5
49,DHRS2
50,PGR
51,RMI2
52,PBK
53,RNASEH2A
54,CKS2
