Column1,property,gene_entrez_id,gene_symbol,beta_gene,beta_gene|class,slope_exc,slope_inh,pval_gene,pval_gene|class_anova,pval_int_anova,model1_aic,model2_aic,model3_aic,model4_aic,FDR_gene,FDR_gene|class_anova,FDR_int_anova,beta_gene_inh_only,pval_gene_inh_only,inh_only_aic,FDR_gene_inh_only,n_significant_0.1_g|c,n_significant_0.1_int
2722,rmp,227333,DGKD,-0.670086408,-0.903801828,-0.958057252,-0.858772719,0.037700299,0.002535404,0.863452485,221.5045226,218.085394,210.2561308,212.2234958,0.178981565,0.080408528,0.980641744,-0.858772719,0.043183568,153.2117688,0.341857694,4,2
2795,rmp,13390,DLX1,0.41250681,0.909711956,-9.753309676,0.917271175,0.000257959,0.002841969,0.330009022,211.9771845,218.085394,210.4810611,211.4341315,0.013289788,0.083817503,0.885383175,0.917271175,0.002893443,148.0501677,0.094819683,13,0
2867,rmp,13446,DOC2A,0.177986556,0.760150744,0.368115092,0.968192329,0.40905135,0.001070725,0.19207359,225.3406734,218.085394,208.5459688,208.668491,0.653720559,0.056669564,0.858152286,0.968192329,0.000768211,145.415799,0.053534137,10,2
2871,rmp,238130,DOCK4,-0.694060116,-0.604508933,-0.442697357,-0.65738862,4.21E-05,0.000300053,0.554672315,208.3721804,218.085394,205.9921079,207.6070184,0.00584569,0.03213727,0.923773702,-0.65738862,0.000760714,145.3961631,0.053332959,11,3
2901,rmp,74388,DPP8,-1.302965879,-1.100206005,-1.771363031,-0.948446487,7.57E-05,0.001708114,0.33874992,209.5434351,218.085394,209.4749516,210.4652106,0.007457639,0.067495385,0.885383175,-0.948446487,0.019038431,151.6909036,0.224273495,11,1
2974,rmp,56455,DYNLL1,-0.011378654,2.03756207,0.854427074,2.595379922,0.976991447,0.000171798,0.102869273,226.0587471,218.085394,204.863709,203.9283656,0.991710664,0.023307315,0.852334018,2.595379922,6.15E-05,140.3057956,0.015802162,13,7
2999,rmp,104394,E2F4,-1.422656088,-1.270058804,-2.470185909,-1.10785796,0.001431824,0.002590239,0.272540103,215.339632,218.085394,210.2983254,210.9699877,0.031399832,0.081094414,0.876309952,-1.10785796,0.017256639,151.5052541,0.213973501,12,0
3015,rmp,13595,EBP,0.407826115,1.592422449,0.975013535,1.7593828,0.332051599,0.000415308,0.448232254,225.0671264,218.085394,206.6475699,208.0130068,0.586923861,0.036911221,0.904372374,1.7593828,0.000589081,144.8835392,0.046012337,7,0
3020,rmp,13599,ECEL1,1.256083253,1.04241181,-0.965144985,1.048759592,0.000291266,0.002958658,0.737731809,212.2171759,218.085394,210.5602602,212.4365388,0.014028295,0.085808105,0.953402581,1.048759592,0.003133864,148.2072151,0.097735116,5,0
3038,rmp,13627,EEF1A1,3.261467165,2.878863629,1.493327918,3.064944118,1.06E-05,0.0003559,0.501771617,205.59837,218.085394,206.3365174,207.8386932,0.00289618,0.034054556,0.916679505,3.064944118,0.000366963,143.9313868,0.03777704,12,0
