Column1,property,gene_entrez_id,gene_symbol,beta_gene,beta_gene|class,slope_exc,slope_inh,pval_gene,pval_gene|class_anova,pval_int_anova,model1_aic,model2_aic,model3_aic,model4_aic,FDR_gene,FDR_gene|class_anova,FDR_int_anova,beta_gene_inh_only,pval_gene_inh_only,inh_only_aic,FDR_gene_inh_only,n_significant_0.1_g|c,n_significant_0.1_int
964,rmp,330914,ARHGAP32,-0.698068279,-1.211343817,-1.102402429,-1.280716485,0.000115982,0.002166524,0.818372341,210.3920151,218.085394,209.9456743,211.8874889,0.009063542,0.076899014,0.973356836,-1.280716485,0.014356244,151.1560601,0.196072053,10,0
970,rmp,11855,ARHGAP5,-0.555130415,-0.994002408,-3.067249191,-0.823381608,0.112930663,0.003011405,0.059694636,223.4091341,218.085394,210.5950255,208.6829289,0.331382696,0.086924963,0.852334018,-0.823381608,0.022897114,152.0379238,0.247083783,11,1
973,rmp,14570,ARHGDIG,0.776206708,1.312792163,1.602521096,1.267789965,0.043678321,0.000322015,0.738841103,221.7677123,218.085394,206.1346979,208.0120604,0.193439352,0.033040372,0.953402581,1.267789965,0.001591521,146.8682021,0.071083845,10,0
981,rmp,16800,ARHGEF2,-1.189467975,-1.079183584,-3.201144211,-0.961904114,1.21E-05,0.000595112,0.087760885,205.8704286,218.085394,207.3707432,206.15464,0.003052149,0.043772998,0.852334018,-0.961904114,0.003805859,148.5886124,0.109067267,13,0
997,rmp,71371,ARID5B,-0.80765331,-0.704006104,-0.816181331,-0.687922736,0.001141415,0.002971001,0.852140854,214.8983466,218.085394,210.5684515,212.5301199,0.027873357,0.0859619,0.978191173,-0.687922736,0.007998524,150.0342688,0.149236972,13,1
1036,rmp,11864,ARNT2,-0.589419684,-1.091561755,-1.054053677,-1.105907997,0.044098283,0.000101061,0.928975957,221.7847554,218.085394,203.785856,205.77709,0.194032446,0.020229927,0.9891391,-1.105907997,0.001154511,146.2295958,0.062400118,7,0
1037,rmp,11865,ARNTL,-0.935363944,-0.99662614,-1.160806729,-0.91806671,8.95E-06,0.000532914,0.675629696,205.2614221,218.085394,207.1490802,208.9558941,0.002664539,0.041999463,0.941879391,-0.91806671,0.012234997,150.8511259,0.180528632,11,0
1043,rmp,67771,ARPC5,0.509938517,1.515416984,1.036870444,1.822981127,0.218907993,0.000396206,0.33808307,224.4652036,218.085394,206.5527356,207.540203,0.472793705,0.036467568,0.885383175,1.822981127,0.001061354,146.0618284,0.059955854,13,5
1149,rmp,11928,ATP1A1,-0.959805569,-1.001250467,-2.0272662,-0.817438982,2.39E-05,0.00148368,0.14388521,207.2361423,218.085394,209.1953331,208.8387352,0.004420545,0.064382212,0.85327685,-0.817438982,0.022252123,151.9843427,0.243531273,1,0
1154,rmp,11933,ATP1B3,1.588473701,1.445788631,1.255214112,1.506847536,3.15E-05,0.001703175,0.806515699,207.7903252,218.085394,209.4692091,211.4030204,0.005269387,0.067495385,0.969842415,1.506847536,0.005443679,149.2878929,0.127760925,5,0
1157,rmp,11941,ATP2B2,-2.038447537,-2.411912505,-2.346257245,-2.448098161,7.56E-07,2.88E-05,0.926313492,200.262125,218.085394,201.2225766,203.2131391,0.000691904,0.013027394,0.9891391,-2.448098161,0.001081664,146.0996409,0.060157166,8,0
1224,rmp,72522,ATXN7L2,-2.803676088,-2.604222176,-2.20596776,-2.650991186,4.87E-05,0.002885418,0.870969164,208.6600411,218.085394,210.5109302,212.4818201,0.005881931,0.084486701,0.981726348,-2.650991186,0.004766389,149.0288374,0.121716525,9,0
1300,rmp,234290,BC030500,0.015446909,-1.028816778,-0.104612023,-1.386577405,0.930927566,5.70E-05,0.011303751,226.0516992,218.085394,202.6170046,197.537723,0.971672557,0.015805992,0.768785943,-1.386577405,9.89E-07,131.8026637,0.002861147,11,0
1303,rmp,414066,BC037032,-2.218259928,-2.982724211,0.004090926,-3.526825695,0.034681327,0.002208554,0.167803519,221.3544358,218.085394,209.983651,209.8846142,0.170680775,0.07720407,0.853367841,-3.526825695,0.000820298,145.5470959,0.054624656,12,2
1349,rmp,319845,BBS9,0.169672364,1.077079872,0.562726528,1.467974406,0.604372402,0.003041085,0.195387242,225.7764416,218.085394,210.6143164,210.7645515,0.798203031,0.087269813,0.858152286,1.467974406,0.00250178,147.763504,0.088503332,5,2
1352,rmp,12032,BCAN,-0.262770616,-0.626452792,2.365142625,-0.651161222,0.185695542,0.001512889,0.14445272,224.212126,218.085394,209.2340619,208.8841225,0.434083014,0.064695646,0.85327685,-0.651161222,0.001047852,146.0362825,0.059955854,13,0
1396,rmp,19716,BEX1,1.306537994,1.249139893,0.41555981,1.513948316,3.68E-05,0.00228261,0.227668626,208.1023724,218.085394,210.0488153,210.44305,0.005690263,0.07720407,0.868402133,1.513948316,0.001287359,146.4465455,0.06374037,13,4
1397,rmp,12069,BEX2,3.149237144,2.831707345,1.431668186,3.446431966,2.29E-05,0.001125986,0.258820267,207.1548658,218.085394,208.6463137,209.2394874,0.004377685,0.057046823,0.87112343,3.446431966,0.001000616,145.944219,0.059955854,10,0
1398,rmp,406217,BEX4,1.394143867,1.257618136,1.045592712,1.293345066,5.08E-06,0.000213629,0.783916088,204.1204124,218.085394,205.3052395,207.2222699,0.001824701,0.027456924,0.964451438,1.293345066,0.000495412,144.535633,0.042768088,13,3
1488,rmp,74007,BTBD11,0.095407148,-0.714177974,4.078022816,-0.717076383,0.492736103,0.00148696,0.582242508,225.5632591,218.085394,209.1997205,210.8658156,0.722245837,0.064382212,0.930432683,-0.717076383,0.001550275,146.8160605,0.070327752,12,0
1491,rmp,228662,BTBD3,-0.381145619,-0.622911098,-0.369909905,-0.739974605,0.025598748,0.000107179,0.244948781,220.8037623,218.085394,203.9054401,204.4138474,0.145648049,0.020447751,0.8690094,-0.739974605,0.000143919,142.0375188,0.024483097,11,0
1501,rmp,238555,BTN2A2,-0.564402359,-1.358979283,-27.90943291,-1.358701913,0.165803195,0.000824081,0.823781952,224.0338189,218.085394,208.022982,209.968268,0.409146527,0.051600178,0.974194372,-1.358701913,0.000884321,145.6973922,0.056207801,13,0
1512,rmp,77533,C030034I22RIK,-0.995093122,-1.780595984,-1.091961267,-1.866185464,0.080136858,0.001067018,0.638669114,222.8296461,218.085394,208.5390517,210.2957729,0.272586033,0.056669564,0.937418813,-1.866185464,0.001347693,146.5376931,0.065504656,11,0
1513,rmp,193280,C030037D09RIK,-0.849690913,-2.257096835,3.497176268,-2.77223397,0.229402884,0.001561176,0.00862052,224.5358296,218.085394,209.2964561,203.6845374,0.486539728,0.065146706,0.737953016,-2.77223397,0.000131052,141.8473143,0.023323139,13,0
1517,rmp,320203,C130071C03RIK,-1.400080057,-1.618282561,-2.205427219,-1.386783099,0.013672667,0.001933598,0.459286291,219.6468104,218.085394,209.7206519,211.116414,0.101568477,0.072643784,0.905381762,-1.386783099,0.031692846,152.643402,0.295187472,3,0
1556,rmp,29867,CABP1,-1.270580799,-1.12642124,-0.862761972,-1.237147883,3.46E-06,7.79E-05,0.51574473,203.3435626,218.085394,203.255609,204.7895538,0.001508309,0.018147369,0.916730361,-1.237147883,0.000338903,143.7709683,0.036639494,11,7
1557,rmp,71132,CABYR,-1.244305279,-1.161458952,-1.005860414,-1.254356463,3.75E-06,0.000204797,0.680513045,203.5053718,218.085394,205.2197491,207.0326737,0.001528896,0.026601813,0.943047236,-1.254356463,0.002111019,147.4279969,0.079892026,11,5
1563,rmp,12290,CACNA1E,0.033262338,0.71452872,-0.928407084,0.753492547,0.832109702,0.000321706,0.170317057,226.0122156,218.085394,206.1327612,206.0583354,0.927012725,0.033040372,0.853367841,0.753492547,0.000154765,142.1849966,0.024573623,13,0
1573,rmp,12300,CACNG2,-0.814840133,-1.232338,-0.90041539,-1.312134998,0.058190833,0.002266537,0.673892546,222.2747601,218.085394,210.0348561,211.8394684,0.226565712,0.07720407,0.941616553,-1.312134998,0.004106833,148.7376913,0.113113904,12,1
1576,rmp,140723,CACNG5,0.757117706,0.636213346,1.039548343,0.585255457,0.000127925,0.001642382,0.456497911,210.5868441,218.085394,209.3971054,210.7853268,0.009357343,0.066844933,0.904606976,0.585255457,0.008049242,150.0464777,0.149923262,12,2
1599,rmp,68566,CALY,2.165756664,1.916239001,0.470116112,2.94023163,6.41E-05,0.003198296,0.046658173,209.2096032,218.085394,210.713409,208.3469907,0.006960084,0.089566956,0.852334018,2.94023163,0.000425239,144.2283259,0.040594518,13,7
1646,rmp,27220,CARTPT,-0.209449163,-0.492464441,0.400965518,-0.527514272,0.146163076,0.000593624,0.18730185,223.8319741,218.085394,207.36572,207.4473391,0.381709322,0.043772998,0.858152286,-0.527514272,0.000278571,143.3751902,0.032882792,13,0
1655,rmp,12371,CASP9,-1.115293809,-1.846127337,-1.126437257,-2.066229344,0.06092575,0.001059381,0.456629289,222.3551396,218.085394,208.5247233,209.9133016,0.232751103,0.056669564,0.904606976,-2.066229344,0.001507645,146.7606735,0.069724057,10,2
1677,rmp,30951,CBX8,-1.016576291,-1.427203965,1.652191023,-1.748928625,0.031121397,0.001140137,0.013613492,221.1588361,218.085394,208.6712088,203.9552151,0.160968924,0.057464402,0.768785943,-1.748928625,9.49E-05,141.19105,0.020589276,12,0
1687,rmp,622404,CCDC107,1.832048456,1.910337407,1.622538171,2.119401508,3.91E-05,0.002447298,0.684968852,208.2210281,218.085394,210.1863563,212.0047567,0.005756239,0.079261302,0.943047236,2.119401508,0.01323792,151.0015566,0.189057111,7,0
1719,rmp,239650,CCDC184,-0.340103395,-0.98408686,-0.961811618,-0.991093917,0.287861714,0.002524425,0.968143749,224.8680628,218.085394,210.2475715,212.2458117,0.548671797,0.080313084,0.99540853,-0.991093917,0.009872466,150.4398692,0.162684737,11,3
1722,rmp,69216,CCDC23,1.22314858,1.111209376,0.823536874,1.212357757,0.000671728,0.001027626,0.595565462,213.8618197,218.085394,208.4640037,210.1531447,0.021716259,0.056669564,0.930432683,1.212357757,0.002472853,147.7405552,0.088061237,13,1
1765,rmp,12424,CCK,-0.401576226,-0.419853825,-0.352030753,-0.439721632,1.57E-05,0.000968615,0.76135195,206.396346,218.085394,208.3459507,210.2441786,0.003266262,0.05536106,0.959470062,-0.439721632,0.002909137,148.0608169,0.095033088,13,5
1806,rmp,12476,CD151,2.032185801,2.365198862,2.658336744,2.29995243,0.002744509,0.000132336,0.809996027,216.5990607,218.085394,204.3340397,206.2702568,0.043177609,0.021351676,0.971360569,2.29995243,0.001063179,146.0652544,0.059955854,7,3
1809,rmp,17470,CD200,1.536581833,1.338141196,1.130467184,1.419517266,0.000129024,0.000604807,0.724376253,210.60384,218.085394,207.4031721,209.2659808,0.009377258,0.043956505,0.948265879,1.419517266,0.002600839,147.8401006,0.09101082,12,2
1820,rmp,13136,CD55,0.999228055,0.870511323,0.66587967,0.892856652,0.000674076,0.001992527,0.801954859,213.8686595,218.085394,209.7800796,211.7106667,0.021716259,0.073947592,0.967946587,0.892856652,0.002982107,148.1095765,0.096025443,8,0
1859,rmp,215654,CDH12,-0.663266987,-0.571113755,-0.521897502,-0.608869132,7.45E-05,0.000590377,0.783718104,209.5109892,218.085394,207.3547095,209.271584,0.007457639,0.043772998,0.964451438,-0.608869132,0.008082072,150.0543386,0.150069676,2,0
1908,rmp,631990,CDR1,-0.970478296,-0.799709649,-0.982930241,-0.747098961,0.000251201,0.003498901,0.709602325,211.9246863,218.085394,210.8898142,212.7368047,0.013051744,0.095102751,0.94580074,-0.747098961,0.020152872,151.7981071,0.2312782,11,1
1911,rmp,74596,CDS1,-0.781967684,-0.662142909,-0.856147322,-0.633853654,0.000110386,0.001202602,0.703456161,210.2936637,218.085394,208.7774892,210.617609,0.008867185,0.058821633,0.944282816,-0.633853654,0.004742759,149.0191349,0.121716525,12,2
1928,rmp,76183,CELF6,0.943254654,0.970073153,1.538207062,0.917478232,7.94E-06,0.000493569,0.509415148,205.0198584,218.085394,206.9949372,208.5146775,0.002504763,0.039910466,0.916679505,0.917478232,0.002052543,147.3724237,0.078772486,14,0
