Column1,Gad2-IRES-Cre__L5__inh,Sst-IRES-Cre__L6__inh,Nos1-CreERT2|Sst-IRES-FlpO__L5-L6__inh,Oxtr-T2A-Cre__L5-L6__inh,Rbp4-Cre_KL100__L4__exc,Sim1-Cre_KJ18__L4-L6__exc,Chrna2-Cre_OE25__L5__inh,Tlx3-Cre_PL56__L4-L6__exc,Chrna2-Cre_OE25|Pvalb-T2A-Dre__L5-L6__inh,Chat-IRES-Cre-neo__L2/3__inh,Htr3a-Cre_NO152__L4__inh,Sst-IRES-Cre__L4__inh,Pvalb-IRES-Cre__L4__inh,Htr3a-Cre_NO152|Pvalb-T2A-Dre__L5-L6__inh,Vip-IRES-Cre__L6__inh,Vip-IRES-Cre__L5__inh,Penk-IRES2-Cre-neo__L5-L6__exc,Ndnf-IRES2-dgCre__L1__inh,Chrna2-Cre_OE25__L6__inh,Htr3a-Cre_NO152__L2/3__inh,Nos1-CreERT2__L1-L4__inh,Nr5a1-Cre__L4__exc,Pvalb-IRES-Cre__L6__inh,Ntsr1-Cre_GN220__L6__exc,Vip-IRES-Cre__L4__inh,Pvalb-IRES-Cre__L5__inh,Nkx2-1-CreERT2__L5-L6__inh,Chat-IRES-Cre-neo__L4__inh,Gad2-IRES-Cre__L1__inh,Vip-IRES-Cre__L1-L2/3__inh,Vipr2-IRES2-Cre__L1-L6__inh,Nkx2-1-CreERT2__L1-L4__inh,Scnn1a-Tg2-Cre__L4__exc,Sst-IRES-Cre__L1-L2/3__inh,Oxtr-T2A-Cre__L1-L4__inh,Rbp4-Cre_KL100__L5__exc,Htr3a-Cre_NO152__L5-L6__exc,Ctgf-T2A-dgCre__L6__exc,Vipr2-IRES2-Cre__L1-L6__exc,Nos1-CreERT2__L5-L6__inh,Htr3a-Cre_NO152__L6__inh,Scnn1a-Tg3-Cre__L2/3-L4__exc,Sst-IRES-Cre__L5__inh,Oxtr-T2A-Cre__L5-L6__exc,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre__L1-L4__inh,Esr2-IRES2-Cre__L5-L6__exc,Pvalb-IRES-Cre__L2/3__inh,Htr3a-Cre_NO152__L5__inh
rmp,-70.86145564,-71.49672744,-63.35905511,-70.58032099,-73.63719795,-70.84976923,-70.38950308,-70.16811092,-71.07274342,-71.32343894,-67.11822328,-70.83983181,-72.50548902,-71.81014442,-69.46371342,-69.80719398,-75.23831654,-70.82045237,-71.42596931,-71.32645275,-68.45985508,-75.97674117,-71.66534476,-74.02360654,-69.101614,-74.10074358,-69.42976247,-70.21410137,-68.2191282,-70.1550138,-70.03373267,-69.394207,-73.29374254,-69.11537272,-69.24362855,-72.78662761,-68.02499662,-71.44060401,-72.13445163,-64.16564102,-68.76574659,-73.39487997,-70.92874943,-71.295378,-72.46139709,-70.16674557,-76.13938032,-71.403813
tau,16.24243547,20.71120319,43.25928962,17.21489479,20.78296788,19.97908563,25.3424048,25.13679172,9.914875692,11.5467328,18.02319727,18.59457007,7.223075224,9.39146958,14.68663796,15.68162521,22.30593475,10.90434146,15.78411076,10.86603066,11.90697321,21.11801986,7.547252977,16.24011473,15.96151573,8.761380108,10.68230544,12.49447829,15.15044838,13.6673391,11.70463902,8.830540185,23.31903639,20.79789891,15.89881333,20.65461835,24.51413428,20.8736762,21.73620657,39.48247349,15.62342287,23.20082488,23.48600432,22.57199798,11.05381912,21.53272451,5.909771186,18.5846181
apthr,-39.53571429,-39.79963381,-36.38750174,-38.31250127,-38.05357297,-39.99609542,-40.82866511,-36.7362824,-36.75390816,-40.12291785,-40.64732361,-44.0584269,-37.00045414,-36.24062691,-39.56250145,-40.17463392,-39.12500334,-36.71955304,-38.56562691,-37.87143026,-38.84375119,-36.6653423,-41.52130855,-35.25061454,-38.20507979,-38.92658287,-34.61658764,-38.88715458,-38.8705368,-39.74316633,-38.44602446,-33.91761494,-35.99414164,-38.94375203,-37.8050617,-38.34829726,-37.87500109,-41.68750204,-36.47851765,-37.91875229,-40.68750191,-35.78340672,-42.10890302,-37.75000245,-35.63625175,-35.41406488,-36.16518034,-38.93990531
apamp,58.33928599,63.97610513,69.33750319,68.61979516,73.75744302,80.39355832,72.25000263,75.09146732,55.67187774,75.1152803,68.30059828,68.22011288,51.14040054,62.30312786,73.8351325,70.92647362,81.11328626,59.02324016,68.93437804,62.30625281,60.88281524,73.85227557,60.80255938,69.91054266,65.97265941,52.85128217,61.41586762,74.14062807,64.02232334,71.37988645,63.87216154,50.84091116,69.6435563,64.345836,64.05208683,73.93863994,70.08482361,80.58575905,76.21484697,71.25625343,65.75390911,72.19289109,66.32718029,80.27455793,57.43250278,71.37812891,48.55357361,63.17548313
ahpamp,20.55357361,20.76286888,16.91339384,17.9479173,9.151786532,8.417969704,15.32220038,11.12957359,24.03906393,9.170834012,14.04910714,15.37228244,22.9687518,25.27187614,12.61206975,11.31801515,7.164061069,13.69551331,18.91875038,14.59508994,13.24609494,12.15397769,22.86079649,13.00428966,9.84179759,22.60994029,18.30048187,9.881944974,12.00892966,11.59960985,17.44602342,19.3821034,9.970703781,18.24999975,15.7708337,9.028409715,11.94642912,8.191860731,11.07421911,16.75000038,16.20703125,11.49784565,16.73153473,7.339284897,17.98125145,7.629687214,23.26785819,14.89823806
aphw,0.405714286,0.499375,0.755428571,0.676666667,0.813095238,0.876875,0.583448276,0.907,0.46,0.743555556,0.55225,0.433478261,0.359206349,0.418,0.726551724,0.717647059,0.825,0.919487179,0.548,0.735681818,0.8675,0.767363636,0.357368421,0.815490196,0.75125,0.360855263,0.721538462,0.72,0.822857143,0.62625,0.567272727,0.546363636,0.88203125,0.459285714,0.644761905,0.799636364,0.862857143,1.026976744,0.86875,0.646,0.6625,0.806465517,0.535546875,1.037142857,0.588,0.9235,0.36304878,0.670512821
rheo,190,135.2941174,49.71428571,146.6666667,122.8571422,107.1875,64.13793084,94.3902439,202.5,106.2222222,80.95238122,113.6956531,281.1594196,210,40.34482759,44.70588213,86.25,127.6923077,167,140.2857129,117.5,105.9999995,275.4545455,171.5686273,78.74999988,273.734939,120,95.55555534,65.71428571,70.31249905,114.5454545,221.8181818,115.3124998,95.33333333,126.1904762,135.4545452,135.7142857,100.2325581,105.625,71,92.5,105,99.24242459,75,189.6,165,370,128.4615369
cap,0.057887811,0.084872102,0.181578146,0.08813666,0.145167443,0.112103818,0.083075238,0.137680856,0.047189527,0.042559379,0.061776787,0.084849319,0.046407066,0.045600338,0.037706877,0.047019396,0.0898375,0.044986082,0.059311004,0.05313323,0.060258702,0.121335418,0.045916276,0.104459381,0.053449916,0.052941402,0.047008256,0.046581706,0.037260409,0.042222921,0.050464985,0.051529206,0.158302665,0.094197796,0.066478428,0.137268338,0.118497174,0.123434184,0.111070664,0.176154135,0.059222249,0.127022781,0.095595868,0.102782504,0.060767822,0.137841093,0.048426994,0.070587507
maxfreq,79,74.875,21.65714286,40.33333333,18.47619048,26.4375,48.27586207,22.425,143.375,22.6,31.15,60.04347826,148.2222222,120,35.37931034,39.58823529,28.375,46.94871795,78.7,36.07575758,35.125,24.96363636,149.2105263,23.23529412,21.3125,158.7631579,50.34615385,14.77777778,47.14285714,35.90625,79.72727273,106.5,22.09375,47.57142857,49.23809524,21.50909091,18,26.74418605,27.125,30.1,53.625,24.67241379,46.453125,26.5,95.64,17.3,138.2682927,37.1025641
adratio,0.59430182,0.626412037,0.442831197,0.570518943,0.392579091,0.498797335,0.401792412,0.523817173,0.867157276,0.405157571,0.465328789,0.454285292,0.749880991,0.837713616,0.384828557,0.422320582,0.268767773,0.630734619,0.693361247,0.539854873,0.647640952,0.414349269,0.821955837,0.41917739,0.424987382,0.789158277,0.719250465,0.611354798,0.331720074,0.410255295,0.571204618,1.19476872,0.470711013,0.599654796,0.571200373,0.364569443,0.469746827,0.493288125,0.464062452,0.499726207,0.681822923,0.428930596,0.548951318,0.427769924,0.659279958,0.564654677,0.86282112,0.504251022
