,0
0,THBS1
1,NEAT1
2,KCNN4
3,DUSP6
4,CEBPB
5,ELF5
6,MYC
7,PHLDA1
8,MGP
9,ISG20
10,CCND1
11,DEPTOR
12,SEPP1
13,IGFBP4
14,GLUL
15,CAV1
16,TANK
17,SLC12A2
18,BTG2
19,EGR1
20,EGLN3
21,FOS
