,0
409,RAB1A
410,CERS2
411,KRT8
412,CS
413,TKT
414,ITGAV
415,HIST1H1C
416,PABPC3
417,PRDX5
418,HSPB1
419,TMEM30A
420,SLC3A2
421,EEF1A2
422,ABHD17C
423,NDUFB1
424,TOMM6
425,SNRPD3
