0
PTEN
PDPK1
JAK2
EP300
FOS
BCL2
SMAD4
SMAD3
RAF1
STAT5A
TP53
MDM2
PIK3R1
FOXO3
PRKCA
PIK3CA
MAPK1
BAX
MAPK3
MAP3K5
MAP2K1
SP1
CREBBP
SRC
STAT3
AKT1
GSK3B
SHC1
CTNNB1
JUN
MTOR
MYC
