,0
0,JTB
1,HADHB
2,UBE2C
3,DDIT4
4,RAN
5,EIF3I
6,EEF2
7,ITGAV
8,TUBA1B
9,NDUFS5
10,ARL6IP1
11,EIF1
12,MARCKSL1
13,SNRPD2
14,C20ORF24
15,FKBP4
16,DSP
17,HSP90AA1
18,DHX40
19,GABARAP
20,NQO1
21,BANF1
22,SELT
23,PSME1
24,RPLP1
25,TPX2
26,DHCR24
27,HLA-C
28,MAD2L1
29,PRDX1
30,MRFAP1L1
31,HIST2H2AA3
32,SNRPG
33,BAMBI
34,NCOA4
35,AHSA1
36,TXNIP
37,SLC7A5
38,SNRPB
39,IGFBP4
40,UBE2T
41,SAT1
42,CDH3
43,FAM83D
44,CSTA
45,IDH2
46,NMD3
47,TCEAL1
48,TUBA1A
49,ILF2
50,ATP5F1
51,HIST1H2AC
52,SLC3A2
53,IARS
54,RPL22L1
55,GDI2
56,SLC38A2
57,IFIT1
58,HMGN2
59,PPT1
60,CCT3
61,S100A10
62,NDUFA4
63,MYO1B
64,LRP11
