,0
401,DNASE2B
402,ZBTB5
403,RAB36
404,NELL2
405,LRP12
406,PPARD
407,ZNF667-AS1
408,MYT1L
409,FOXD1
410,COL13A1
411,NPY5R
412,NEIL1
413,PCDHA11
414,TTLL7
415,MTA1
416,ASIC2
417,DAPL1
418,PTGDR
419,PFKP
420,CHODL
421,HOXB2
422,HOXA1
423,FAM155A
424,STC2
425,CXCL10
426,CCL18
427,ESRRG
428,HOXA9
429,RMST
430,PPP3CC
431,KRT7
432,FGF13
433,FBXO2
434,PNMA6A
435,CST3
436,TP53BP2
437,AKAP12
438,XIST
439,CACNA1I
440,CPAMD8
441,LIN7A
442,DNAH17
443,TPD52L1
444,CRABP2
445,CAB39L
446,STOM
447,RNF183
448,MAPT
449,TUBB6
450,ZNF662
451,TMEM101
452,PCDHB14
453,C1ORF64
454,MEST
455,PNO1
456,AREG
457,FAM129A
458,CCL13
459,GRIA2
460,EYA2
461,PIK3C2G
462,CYP1B1
463,LINC01426
464,HEY2
465,SPECC1
466,ZFP2
467,HRASLS2
468,QPRT
469,MYRIP
470,PROM1
471,NAT2
472,FAM110D
473,FAM198B
474,NCAM1
475,GPC4
476,IL19
477,LAMP3
478,NCAM2
479,LRRC4C
480,MGST1
481,SEMA3A
482,ZBTB18
483,IGSF21
484,RTN1
485,PAPSS2
486,ADAMDEC1
487,SAA1
488,LOC389831
489,C1ORF52
490,UPK1A
491,ULBP2
492,AP3S1
493,RBPMS
494,PBX3
495,GNB4
496,GLIS2
497,ROBO2
498,LCT
499,TFAP2B
500,COLEC12
501,ATP8A2
502,PLA2G10
503,CHI3L1
504,KIF5C
505,B3GALT4
506,MAGEH1
507,"LINC01112
"
508,DIO3
509,OSBP
510,ATP8B3
511,C1ORF106
512,RHPN2
513,IRF5
514,NANOS1
515,ADCY2
516,MIA
517,GPR18
518,SLAMF8
519,MGAT4A
520,VAV1
521,BRF1
522,FAM81A
523,TMPRSS3
524,SGK3
525,KLK11
526,SH2B2
527,MIR503HG
528,C15ORF57
529,PPM1K
530,RFX2
531,SLC40A1
532,NME5
533,PSD2
534,GJA1
535,TYRP1
536,MCM3AP
537,DHRS2
538,DUSP4
539,ABCC11
540,ST3GAL4
541,ZC4H2
542,HERC6
543,DYNC1I1
544,FA2H
545,PPP1R14D
546,SLC29A2
547,DCBLD2
548,GATAD2B
549,AGBL4
550,CCNB3
551,ZIK1
552,ZIC1
553,HOXC4
554,SLC22A1
555,SLC22A4
556,CECR1
557,LFNG
558,LRP1B
559,LHFP
560,HOXB4
561,SUSD3
562,TAF5
563,CCDC177
564,MAOA
565,CYP2A6
566,CPB1
567,SLMO1
568,HIF1A
569,AQP3
570,RPS21
571,ASRGL1
572,PEX5L
573,KYNU
574,KIAA1211
575,PHLPP2
576,NTN4
577,CDC42EP3
578,CX3CR1
579,PGR
580,GLRA3
581,PIGP
582,C6ORF141
583,ELL2
584,RIMBP3
585,MS4A14
586,MET
587,CTAG1A
588,ZNF419
589,RAI2
590,TMEM200B
591,AKR1C2
592,GUCY1B2
593,SDCBP2
594,SNPH
595,RGN
596,EPB41L3
597,S100A9
598,SAMD13
599,SPAG16
