,0
0,CLDN11
1,APOD
2,TNN
3,S100P
4,RAI2
5,PRAME
6,OGN
7,ZNF385B
8,NPY5R
9,MMP10
10,TM4SF18
11,AKR1C3
12,ANXA8
13,CHI3L1
14,CD302
15,MATN2
16,TMEM98
17,FAM129A
18,HMGCS2
19,GSTP1
20,FXYD6
21,SCUBE2
22,GPC3
23,RBP7
24,PIK3C2G
25,NTN4
26,FOLR1
27,TENM2
28,ZNF204P
29,SH3BGRL2
30,PROM1
31,PEG3
32,STC2
33,CXCL10
34,ID4
35,EVA1C
36,HOXA9
37,SLC16A6
38,PDLIM3
39,MIA
40,KCTD14
41,MUC15
42,TSPAN6
43,AGT
44,SCGB2A1
45,PDZK1
46,RAB26
47,TIMP4
48,SLIT2
49,CXCL14
50,CSTA
51,ISG15
52,FHL1
53,ZNF662
54,RNF128
55,EGFLAM
56,ADAMDEC1
57,LHFP
58,SYT13
59,RARRES1
60,CDO1
61,MMP9
